ijcam,lat,lon,sand,clay,silt,wwilt,wfield,wsat
    10, -72.95,   0.00, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
    12, -69.16,   0.00, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
    51,   4.74,   0.00, 0.51282, 0.33276, 0.15442, 0.17942, 0.27613, 0.42816,
    52,   6.63,   0.00, 0.51282, 0.33276, 0.15442, 0.17942, 0.27592, 0.42792,
    53,   8.53,   0.00, 0.51154, 0.26536, 0.22310, 0.14816, 0.26166, 0.42788,
    54,  10.42,   0.00, 0.39077, 0.44676, 0.16247, 0.22712, 0.31056, 0.44321,
    55,  12.32,   0.00, 0.55080, 0.24459, 0.20461, 0.13668, 0.25109, 0.42277,
    56,  14.21,   0.00, 0.65723, 0.12949, 0.21328, 0.09551, 0.20427, 0.40860,
    57,  16.11,   0.00, 0.81572, 0.08875, 0.09553, 0.09449, 0.17104, 0.38783,
    58,  18.00,   0.00, 0.60875, 0.16910, 0.22215, 0.10467, 0.22276, 0.41429,
    59,  19.89,   0.00, 0.25445, 0.12799, 0.61756, 0.17194, 0.25474, 0.45853,
    60,  21.79,   0.00, 0.62558, 0.11700, 0.25741, 0.10285, 0.20308, 0.41182,
    61,  23.68,   0.00, 0.39479, 0.11677, 0.48844, 0.14522, 0.23175, 0.44103,
    62,  25.58,   0.00, 0.39479, 0.11677, 0.48844, 0.14522, 0.23172, 0.44098,
    63,  27.47,   0.00, 0.39479, 0.11677, 0.48844, 0.14522, 0.23179, 0.44109,
    64,  29.37,   0.00, 0.90000, 0.05000, 0.05000, 0.09702, 0.14702, 0.37745,
    65,  31.26,   0.00, 0.50966, 0.24905, 0.24129, 0.14143, 0.25719, 0.42660,
    66,  33.16,   0.00, 0.36043, 0.23419, 0.40538, 0.15141, 0.27338, 0.44557,
    67,  35.05,   0.00, 0.44006, 0.25627, 0.30367, 0.14976, 0.26894, 0.43662,
    68,  36.95,   0.00, 0.43669, 0.26199, 0.30133, 0.15212, 0.27094, 0.43732,
    69,  38.84,   0.00, 0.29824, 0.24362, 0.45814, 0.16191, 0.28526, 0.45493,
    70,  40.74,   0.00, 0.29824, 0.24362, 0.45814, 0.16191, 0.28519, 0.45476,
    71,  42.63,   0.00, 0.37515, 0.23265, 0.39220, 0.14916, 0.27178, 0.44525,
    72,  44.53,   0.00, 0.70030, 0.06017, 0.23953, 0.12443, 0.17443, 0.40616,
    73,  46.42,   0.00, 0.33928, 0.22667, 0.43405, 0.15243, 0.27554, 0.45019,
    74,  48.32,   0.00, 0.33928, 0.22667, 0.43405, 0.15243, 0.27589, 0.45076,
    75,  50.21,   0.00, 0.39330, 0.22532, 0.38138, 0.14496, 0.26825, 0.44406,
    76,  52.11,   0.00, 0.59511, 0.23197, 0.17292, 0.12822, 0.24405, 0.41874,
    77,  54.00,   0.00, 0.55647, 0.26120, 0.18233, 0.14382, 0.25559, 0.42296,
   106, -72.95,   2.50, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   108, -69.16,   2.50, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   148,   6.63,   2.50, 0.34566, 0.46245, 0.19189, 0.23047, 0.32044, 0.44934,
   149,   8.53,   2.50, 0.35385, 0.48974, 0.15642, 0.24093, 0.32149, 0.44779,
   150,  10.42,   2.50, 0.35385, 0.48974, 0.15642, 0.24093, 0.32151, 0.44781,
   151,  12.32,   2.50, 0.81572, 0.08875, 0.09553, 0.09449, 0.17178, 0.38897,
   152,  14.21,   2.50, 0.81572, 0.08875, 0.09553, 0.09449, 0.17108, 0.38789,
   153,  16.11,   2.50, 0.81572, 0.08875, 0.09553, 0.09449, 0.17117, 0.38803,
   154,  18.00,   2.50, 0.25445, 0.12799, 0.61756, 0.17194, 0.25474, 0.45851,
   155,  19.89,   2.50, 0.75351, 0.10990, 0.13658, 0.08782, 0.18555, 0.39542,
   156,  21.79,   2.50, 0.75351, 0.10990, 0.13658, 0.08782, 0.18549, 0.39533,
   157,  23.68,   2.50, 0.75351, 0.10990, 0.13658, 0.08782, 0.18549, 0.39532,
   158,  25.58,   2.50, 0.39479, 0.11677, 0.48844, 0.14522, 0.23143, 0.44056,
   159,  27.47,   2.50, 0.39479, 0.11677, 0.48844, 0.14522, 0.23159, 0.44080,
   160,  29.37,   2.50, 0.21806, 0.18597, 0.59597, 0.16910, 0.27944, 0.46325,
   161,  31.26,   2.50, 0.90000, 0.05000, 0.05000, 0.09689, 0.14689, 0.37725,
   162,  33.16,   2.50, 0.50966, 0.24905, 0.24129, 0.14143, 0.25724, 0.42667,
   163,  35.05,   2.50, 0.41220, 0.24104, 0.34677, 0.14731, 0.26833, 0.43930,
   164,  36.95,   2.50, 0.43669, 0.26199, 0.30133, 0.15212, 0.27098, 0.43739,
   166,  40.74,   2.50, 0.37515, 0.23265, 0.39220, 0.14916, 0.27194, 0.44541,
   167,  42.63,   2.50, 0.37515, 0.23265, 0.39220, 0.14916, 0.27180, 0.44534,
   168,  44.53,   2.50, 0.46312, 0.23450, 0.30238, 0.13996, 0.26128, 0.43543,
   169,  46.42,   2.50, 0.46312, 0.23450, 0.30238, 0.13996, 0.26133, 0.43550,
   170,  48.32,   2.50, 0.33928, 0.22667, 0.43405, 0.15243, 0.27563, 0.45040,
   171,  50.21,   2.50, 0.39330, 0.22532, 0.38138, 0.14496, 0.26835, 0.44420,
   172,  52.11,   2.50, 0.53934, 0.27997, 0.18069, 0.15340, 0.26198, 0.42483,
   203, -71.05,   5.00, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   204, -69.16,   5.00, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   243,   4.74,   5.00, 0.49849, 0.28900, 0.21251, 0.15925, 0.27034, 0.43153,
   244,   6.63,   5.00, 0.36927, 0.45456, 0.17617, 0.22892, 0.31630, 0.44627,
   245,   8.53,   5.00, 0.35385, 0.48974, 0.15642, 0.24093, 0.32150, 0.44779,
   246,  10.42,   5.00, 0.21338, 0.67672, 0.10991, 0.27426, 0.35984, 0.46546,
   247,  12.32,   5.00, 0.30888, 0.51463, 0.17649, 0.24556, 0.33077, 0.45249,
   248,  14.21,   5.00, 0.69643, 0.15070, 0.15287, 0.09150, 0.20633, 0.40323,
   249,  16.11,   5.00, 0.87155, 0.09806, 0.03038, 0.08040, 0.16845, 0.38064,
   250,  18.00,   5.00, 0.25445, 0.12799, 0.61756, 0.17194, 0.25467, 0.45843,
   251,  19.89,   5.00, 0.75351, 0.10990, 0.13658, 0.08782, 0.18557, 0.39544,
   252,  21.79,   5.00, 0.75351, 0.10990, 0.13658, 0.08782, 0.18515, 0.39480,
   253,  23.68,   5.00, 0.75351, 0.10990, 0.13658, 0.08782, 0.18511, 0.39474,
   254,  25.58,   5.00, 0.90000, 0.05000, 0.05000, 0.09656, 0.14656, 0.37675,
   255,  27.47,   5.00, 0.22624, 0.18517, 0.58860, 0.16737, 0.27798, 0.46227,
   256,  29.37,   5.00, 0.90000, 0.05000, 0.05000, 0.09698, 0.14698, 0.37738,
   257,  31.26,   5.00, 0.50966, 0.24905, 0.24129, 0.14143, 0.25723, 0.42665,
   258,  33.16,   5.00, 0.50966, 0.24905, 0.24129, 0.14143, 0.25719, 0.42660,
   259,  35.05,   5.00, 0.41220, 0.24104, 0.34677, 0.14731, 0.26825, 0.43918,
   260,  36.95,   5.00, 0.44650, 0.26286, 0.29065, 0.15165, 0.26970, 0.43596,
   263,  42.63,   5.00, 0.52783, 0.26916, 0.20301, 0.14893, 0.26029, 0.42575,
   264,  44.53,   5.00, 0.32367, 0.23532, 0.44102, 0.15654, 0.27970, 0.45200,
   265,  46.42,   5.00, 0.50543, 0.25520, 0.23937, 0.14425, 0.26043, 0.42936,
   266,  48.32,   5.00, 0.47089, 0.24686, 0.28226, 0.14366, 0.26242, 0.43344,
   267,  50.21,   5.00, 0.51501, 0.20879, 0.27620, 0.12610, 0.24732, 0.42829,
   268,  52.11,   5.00, 0.62396, 0.10013, 0.27591, 0.11229, 0.20135, 0.41859,
   269,  54.00,   5.00, 0.31399, 0.27176, 0.41424, 0.16702, 0.29125, 0.45553,
   271,  57.79,   5.00, 0.63963, 0.14976, 0.21061, 0.09781, 0.21422, 0.41367,
   272,  59.68,   5.00, 0.61805, 0.14990, 0.23205, 0.10050, 0.21716, 0.41708,
   273,  61.58,   5.00, 0.61805, 0.14990, 0.23205, 0.10050, 0.21713, 0.41704,
   299, -71.05,   7.50, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   300, -69.16,   7.50, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   336,  -0.95,   7.50, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   339,   4.74,   7.50, 0.40484, 0.43433, 0.16083, 0.22285, 0.30887, 0.44257,
   340,   6.63,   7.50, 0.46006, 0.35111, 0.18882, 0.18815, 0.28675, 0.43486,
   341,   8.53,   7.50, 0.52039, 0.25549, 0.22412, 0.14337, 0.25825, 0.42684,
   342,  10.42,   7.50, 0.38144, 0.47567, 0.14289, 0.23788, 0.31643, 0.44412,
   343,  12.32,   7.50, 0.62061, 0.30312, 0.07627, 0.16379, 0.25445, 0.41312,
   344,  14.21,   7.50, 0.87155, 0.09806, 0.03038, 0.08040, 0.16852, 0.38075,
   345,  16.11,   7.50, 0.73985, 0.07820, 0.18196, 0.11930, 0.17523, 0.39746,
