lsmlon,lsmlat,LANDFRAC_P,LONGXY,LATIXY,IGBP,cellid,WRTCELL
1,1,1,0,-90,15,1,0
1,2,1,0,-88.1,15,2,0
1,3,1,0,-86.2,15,3,0
1,4,1,0,-84.3,15,4,0
1,5,1,0,-82.4,15,5,0
1,6,1,0,-80.5,15,6,0
1,7,1,0,-78.6,15,7,0
1,8,1,0,-76.7,15,8,0
1,9,1,0,-74.8,15,9,0
1,10,1,0,-72.9,15,10,0
1,11,1,0,-71.1,15,11,0
1,12,1,0,-69.2,17,12,0
1,13,0,0,-67.3,17,13,0
1,14,0,0,-65.4,17,14,0
1,15,0,0,-63.5,17,15,0
1,16,0,0,-61.6,17,16,0
1,17,0,0,-59.7,17,17,0
1,18,0,0,-57.8,17,18,0
1,19,0,0,-55.9,17,19,0
1,20,0,0,-54,17,20,0
1,21,0,0,-52.1,17,21,0
1,22,0,0,-50.2,17,22,0
1,23,0,0,-48.3,17,23,0
1,24,0,0,-46.4,17,24,0
1,25,0,0,-44.5,17,25,0
1,26,0,0,-42.6,17,26,0
1,27,0,0,-40.7,17,27,0
1,28,0,0,-38.8,17,28,0
1,29,0,0,-36.9,17,29,0
1,30,0,0,-35.1,17,30,0
1,31,0,0,-33.2,17,31,0
1,32,0,0,-31.3,17,32,0
1,33,0,0,-29.4,17,33,0
1,34,0,0,-27.5,17,34,0
1,35,0,0,-25.6,17,35,0
1,36,0,0,-23.7,17,36,0
1,37,0,0,-21.8,17,37,0
1,38,0,0,-19.9,17,38,0
1,39,0,0,-18,17,39,0
1,40,0,0,-16.1,17,40,0
1,41,0,0,-14.2,17,41,0
1,42,0,0,-12.3,17,42,0
1,43,0,0,-10.4,17,43,0
1,44,0,0,-8.5,17,44,0
1,45,0,0,-6.6,17,45,0
1,46,0,0,-4.7,17,46,0
1,47,0,0,-2.8,17,47,0
1,48,0,0,-0.9,17,48,0
1,49,0,0,0.9,17,49,0
1,50,0,0,2.8,17,50,0
1,51,0,0,4.7,17,51,0
1,52,1,0,6.6,8,52,0
1,53,1,0,8.5,8,53,0
1,54,1,0,10.4,9,54,0
