ijcam,lat,lon,ivt_igbp,ist,iso,landarea,Ndep,Nfix,Pwea, Pdust,doyP1,doyP2,doyP3,doyP4,Phase(1),ivcasa,ilat,ilo
    10, -72.95,   0.00, 15,-99,-99,    17175409664.0000, 0.00117, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  10,   1,
    12, -69.16,   0.00, 17,-99,-99,     2480204288.0000, 0.00248, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  12,   1,
    51,   4.74,   0.00, 17,-99,-99,     6659755520.0000, 0.19691, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  51,   1,
    52,   6.63,   0.00,  8,-99,-99,    54444019712.0000, 0.28674, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  52,   1,
    53,   8.53,   0.00,  8,-99,-99,    57921855488.0000, 0.30472, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  53,   1,
    54,  10.42,   0.00,  9,-99,-99,    57603076096.0000, 0.31210, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  54,   1,
    55,  12.32,   0.00,  9,-99,-99,    57221304320.0000, 0.19058, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  55,   1,
    56,  14.21,   0.00, 10,-99,-99,    56776970240.0000, 0.11289, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  56,   1,
    57,  16.11,   0.00,  7,-99,-99,    56270544896.0000, 0.07394, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  57,   1,
    58,  18.00,   0.00, 16,-99,-99,    55702589440.0000, 0.03390, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  58,   1,
    59,  19.89,   0.00, 16,-99,-99,    55073726464.0000, 0.02318, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  59,   1,
    60,  21.79,   0.00, 16,-99,-99,    54384635904.0000, 0.01762, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  60,   1,
    61,  23.68,   0.00, 16,-99,-99,    53636083712.0000, 0.01565, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  61,   1,
    62,  25.58,   0.00, 16,-99,-99,    52828876800.0000, 0.01562, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  62,   1,
    63,  27.47,   0.00, 16,-99,-99,    51963904000.0000, 0.01843, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  63,   1,
    64,  29.37,   0.00, 16,-99,-99,    51042107392.0000, 0.01858, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  64,   1,
    65,  31.26,   0.00, 16,-99,-99,    50064498688.0000, 0.02412, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  65,   1,
    66,  33.16,   0.00, 16,-99,-99,    49032142848.0000, 0.04579, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  66,   1,
    67,  35.05,   0.00, 14,-99,-99,    45234032640.0000, 0.07646, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  67,   1,
    68,  36.95,   0.00, 17,-99,-99,     4285138176.0000, 0.05934, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  68,   1,
    69,  38.84,   0.00, 17,-99,-99,    16234231808.0000, 0.13116, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  69,   1,
    70,  40.74,   0.00, 12,-99,-99,    32493418496.0000, 0.19015, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  70,   1,
    71,  42.63,   0.00, 14,-99,-99,    43090739200.0000, 0.23962, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  71,   1,
    72,  44.53,   0.00, 14,-99,-99,    35916378112.0000, 0.29482, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  72,   1,
    73,  46.42,   0.00, 14,-99,-99,    37972877312.0000, 0.35086, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  73,   1,
    74,  48.32,   0.00, 12,-99,-99,    38949937152.0000, 0.40306, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  74,   1,
    75,  50.21,   0.00, 17,-99,-99,    11582385152.0000, 0.28555, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  75,   1,
    76,  52.11,   0.00, 12,-99,-99,    32782960640.0000, 0.75852, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  76,   1,
    77,  54.00,   0.00, 17,-99,-99,     9775932416.0000, 0.30350, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  77,   1,
   106, -72.95,   2.50, 15,-99,-99,    17175409664.0000, 0.00113, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  10,   2,
   108, -69.16,   2.50, 17,-99,-99,     2480204288.0000, 0.00244, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  12,   2,
   148,   6.63,   2.50,  8,-99,-99,    38859403264.0000, 0.22322, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  52,   2,
   149,   8.53,   2.50,  8,-99,-99,    57921855488.0000, 0.25980, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  53,   2,
   150,  10.42,   2.50,  8,-99,-99,    57603076096.0000, 0.26035, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  54,   2,
   151,  12.32,   2.50,  9,-99,-99,    57221304320.0000, 0.17785, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  55,   2,
   152,  14.21,   2.50, 10,-99,-99,    56776970240.0000, 0.10758, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  56,   2,
   153,  16.11,   2.50,  7,-99,-99,    56270544896.0000, 0.07255, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  57,   2,
   154,  18.00,   2.50, 16,-99,-99,    55702589440.0000, 0.03351, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  58,   2,
   155,  19.89,   2.50, 16,-99,-99,    55073726464.0000, 0.02303, 0.10000, 0.00000, 0.00000, -99, -99, -99, -99, -99, -99,  59,   2,
