ijcam,lat,lon,sand,clay,silt,wwilt,wfield,wsat
    10, -72.95,   0.00, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
    12, -69.16,   0.00, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
    51,   4.74,   0.00, 0.52023, 0.28526, 0.19451, 0.15664, 0.26391, 0.42549,
    52,   6.63,   0.00, 0.52023, 0.28526, 0.19451, 0.15664, 0.26358, 0.42507,
    53,   8.53,   0.00, 0.49425, 0.27212, 0.23363, 0.15209, 0.26412, 0.42820,
    54,  10.42,   0.00, 0.51624, 0.31781, 0.16595, 0.17214, 0.26937, 0.42560,
    55,  12.32,   0.00, 0.63059, 0.18601, 0.18340, 0.10714, 0.22452, 0.41088,
    56,  14.21,   0.00, 0.68046, 0.12925, 0.19029, 0.09251, 0.20068, 0.40402,
    57,  16.11,   0.00, 0.83778, 0.08118, 0.08105, 0.10098, 0.16513, 0.38377,
    58,  18.00,   0.00, 0.63807, 0.16634, 0.19559, 0.10081, 0.21758, 0.40913,
    59,  19.89,   0.00, 0.28637, 0.15379, 0.55984, 0.15682, 0.25842, 0.45330,
    60,  21.79,   0.00, 0.63467, 0.11389, 0.25144, 0.10264, 0.20008, 0.40939,
    61,  23.68,   0.00, 0.42163, 0.13908, 0.43928, 0.13196, 0.23531, 0.43633,
    62,  25.58,   0.00, 0.42163, 0.13908, 0.43928, 0.13196, 0.23530, 0.43630,
    63,  27.47,   0.00, 0.42163, 0.13908, 0.43928, 0.13196, 0.23534, 0.43636,
    64,  29.37,   0.00, 0.90000, 0.05000, 0.05000, 0.09641, 0.14641, 0.37603,
    65,  31.26,   0.00, 0.51461, 0.24160, 0.24379, 0.13805, 0.25384, 0.42462,
    66,  33.16,   0.00, 0.37618, 0.23569, 0.38814, 0.14986, 0.27055, 0.44218,
    67,  35.05,   0.00, 0.41098, 0.25735, 0.33167, 0.15276, 0.27205, 0.43858,
    68,  36.95,   0.00, 0.40020, 0.27507, 0.32474, 0.15982, 0.27785, 0.44024,
    69,  38.84,   0.00, 0.30944, 0.25958, 0.43098, 0.16429, 0.28643, 0.45151,
    70,  40.74,   0.00, 0.30944, 0.25958, 0.43098, 0.16429, 0.28643, 0.45158,
    71,  42.63,   0.00, 0.36225, 0.25588, 0.38186, 0.15721, 0.27865, 0.44652,
    72,  44.53,   0.00, 0.69644, 0.06206, 0.24150, 0.12629, 0.17629, 0.40755,
    73,  46.42,   0.00, 0.27725, 0.24039, 0.48235, 0.16421, 0.28645, 0.45666,
    74,  48.32,   0.00, 0.27725, 0.24039, 0.48235, 0.16421, 0.28702, 0.45765,
    75,  50.21,   0.00, 0.40235, 0.24216, 0.35549, 0.14872, 0.27073, 0.44166,
    76,  52.11,   0.00, 0.43490, 0.26938, 0.29572, 0.15500, 0.27338, 0.43758,
    77,  54.00,   0.00, 0.37732, 0.31598, 0.30670, 0.17613, 0.29055, 0.44415,
   106, -72.95,   2.50, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   108, -69.16,   2.50, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   148,   6.63,   2.50, 0.39699, 0.39350, 0.20951, 0.20588, 0.29989, 0.44113,
   149,   8.53,   2.50, 0.48059, 0.34951, 0.16990, 0.18742, 0.28009, 0.43005,
   150,  10.42,   2.50, 0.48059, 0.34951, 0.16990, 0.18742, 0.28011, 0.43006,
   151,  12.32,   2.50, 0.83778, 0.08118, 0.08105, 0.10098, 0.16591, 0.38440,
   152,  14.21,   2.50, 0.83778, 0.08118, 0.08105, 0.10098, 0.16516, 0.38379,
   153,  16.11,   2.50, 0.83778, 0.08118, 0.08105, 0.10098, 0.16524, 0.38385,
   154,  18.00,   2.50, 0.28637, 0.15379, 0.55984, 0.15682, 0.25841, 0.45329,
   155,  19.89,   2.50, 0.76663, 0.10922, 0.12415, 0.08649, 0.18323, 0.39264,
   156,  21.79,   2.50, 0.76663, 0.10922, 0.12415, 0.08649, 0.18320, 0.39261,
   157,  23.68,   2.50, 0.76663, 0.10922, 0.12415, 0.08649, 0.18319, 0.39261,
   158,  25.58,   2.50, 0.42163, 0.13908, 0.43928, 0.13196, 0.23516, 0.43612,
   159,  27.47,   2.50, 0.42163, 0.13908, 0.43928, 0.13196, 0.23523, 0.43622,
   160,  29.37,   2.50, 0.30951, 0.16271, 0.52778, 0.15101, 0.25850, 0.45044,
   161,  31.26,   2.50, 0.90000, 0.05000, 0.05000, 0.09629, 0.14629, 0.37594,
   162,  33.16,   2.50, 0.51461, 0.24160, 0.24379, 0.13805, 0.25387, 0.42466,
   163,  35.05,   2.50, 0.43810, 0.23588, 0.32601, 0.14294, 0.26253, 0.43451,
   164,  36.95,   2.50, 0.40020, 0.27507, 0.32474, 0.15982, 0.27792, 0.44033,
   166,  40.74,   2.50, 0.36225, 0.25588, 0.38186, 0.15721, 0.27833, 0.44557,
   167,  42.63,   2.50, 0.36225, 0.25588, 0.38186, 0.15721, 0.27890, 0.44708,
   168,  44.53,   2.50, 0.43082, 0.25343, 0.31575, 0.14957, 0.27049, 0.44028,
   169,  46.42,   2.50, 0.43082, 0.25343, 0.31575, 0.14957, 0.27056, 0.44038,
   170,  48.32,   2.50, 0.27725, 0.24039, 0.48235, 0.16421, 0.28676, 0.45733,
   171,  50.21,   2.50, 0.40235, 0.24216, 0.35549, 0.14872, 0.27083, 0.44174,
   172,  52.11,   2.50, 0.37595, 0.32163, 0.30242, 0.17828, 0.29177, 0.44387,
   203, -71.05,   5.00, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   204, -69.16,   5.00, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   243,   4.74,   5.00, 0.34791, 0.33010, 0.32199, 0.18273, 0.29871, 0.44937,
   244,   6.63,   5.00, 0.37954, 0.42131, 0.19915, 0.21653, 0.30804, 0.44330,
   245,   8.53,   5.00, 0.48059, 0.34951, 0.16990, 0.18742, 0.28010, 0.43006,
   246,  10.42,   5.00, 0.45327, 0.42065, 0.12608, 0.21948, 0.29289, 0.43340,
   247,  12.32,   5.00, 0.42912, 0.38212, 0.18876, 0.20162, 0.29265, 0.43576,
   248,  14.21,   5.00, 0.73699, 0.12804, 0.13497, 0.08580, 0.19338, 0.39665,
   249,  16.11,   5.00, 0.88180, 0.08660, 0.03160, 0.08902, 0.16243, 0.37816,
   250,  18.00,   5.00, 0.28637, 0.15379, 0.55984, 0.15682, 0.25838, 0.45325,
   251,  19.89,   5.00, 0.76663, 0.10922, 0.12415, 0.08649, 0.18324, 0.39265,
   252,  21.79,   5.00, 0.76663, 0.10922, 0.12415, 0.08649, 0.18304, 0.39248,
   253,  23.68,   5.00, 0.76663, 0.10922, 0.12415, 0.08649, 0.18302, 0.39246,
   254,  25.58,   5.00, 0.90000, 0.05000, 0.05000, 0.09604, 0.14604, 0.37577,
   255,  27.47,   5.00, 0.31190, 0.16271, 0.52539, 0.15053, 0.25811, 0.45017,
   256,  29.37,   5.00, 0.90000, 0.05000, 0.05000, 0.09637, 0.14637, 0.37600,
   257,  31.26,   5.00, 0.51461, 0.24160, 0.24379, 0.13805, 0.25386, 0.42465,
   258,  33.16,   5.00, 0.51461, 0.24160, 0.24379, 0.13805, 0.25384, 0.42462,
   259,  35.05,   5.00, 0.43810, 0.23588, 0.32601, 0.14294, 0.26247, 0.43443,
   260,  36.95,   5.00, 0.39801, 0.28219, 0.31980, 0.16252, 0.27957, 0.44046,
   263,  42.63,   5.00, 0.48631, 0.30059, 0.21310, 0.16491, 0.27183, 0.42982,
   264,  44.53,   5.00, 0.35797, 0.25219, 0.38984, 0.15661, 0.27912, 0.44792,
   265,  46.42,   5.00, 0.48275, 0.27624, 0.24101, 0.15450, 0.26845, 0.43266,
   266,  48.32,   5.00, 0.40369, 0.30444, 0.29186, 0.17036, 0.28348, 0.44082,
   267,  50.21,   5.00, 0.45542, 0.24190, 0.30268, 0.14326, 0.26337, 0.43523,
   268,  52.11,   5.00, 0.61010, 0.10052, 0.28938, 0.11432, 0.20575, 0.42309,
   269,  54.00,   5.00, 0.38944, 0.21712, 0.39343, 0.14339, 0.26727, 0.44541,
   271,  57.79,   5.00, 0.63578, 0.14784, 0.21637, 0.09810, 0.21610, 0.41969,
   272,  59.68,   5.00, 0.60667, 0.14922, 0.24412, 0.10191, 0.22027, 0.42718,
   273,  61.58,   5.00, 0.60667, 0.14922, 0.24412, 0.10191, 0.22018, 0.42710,
   299, -71.05,   7.50, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   300, -69.16,   7.50, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   336,  -0.95,   7.50, 0.43000, 0.18000, 0.39000, 0.13036, 0.24752, 0.43482,
   339,   4.74,   7.50, 0.42353, 0.38873, 0.18775, 0.20435, 0.29791, 0.43868,
   340,   6.63,   7.50, 0.45245, 0.32879, 0.21876, 0.17837, 0.28131, 0.43411,
   341,   8.53,   7.50, 0.49990, 0.26265, 0.23745, 0.14773, 0.26124, 0.42768,
   342,  10.42,   7.50, 0.46232, 0.37180, 0.16588, 0.19754, 0.28766, 0.43218,
   343,  12.32,   7.50, 0.69350, 0.21592, 0.09059, 0.11496, 0.22356, 0.40233,
   344,  14.21,   7.50, 0.88180, 0.08660, 0.03160, 0.08902, 0.16248, 0.37820,
   345,  16.11,   7.50, 0.77183, 0.07373, 0.15444, 0.11928, 0.16928, 0.39211,
