npt,ijgcm,iYrCnt,idoy,iveg,tsoilavg,casapool%Cplant(LEAF),casapool%Cplant(WOOD),casapool%Cplant(FROOT),casapool%Nplant(LEAF),casapool%Nplant(WOOD),casapool%Nplant(FROOT),casapool%Clitter(MET),casapool%Clitter(STR),casapool%Clitter(CWD),casapool%Nlitter(MET),casapool%Nlitter(STR),casapool%Nlitter(CWD),casapool%Csoil(MIC),casapool%Csoil(SLOW),casapool%Csoil(PASS),casapool%Nsoil(MIC),casapool%Nsoil(SLOW),casapool%Nsoil(PASS),casaflux%Crsoil,cleaf2met,cleaf2str,croot2met,croot2str,cwd2str,cwd2co2,cwood2cwd,casaflux%cgpp,casaflux%cnpp,casaflux%crmplant(LEAF),casaflux%crmplant(WOOD),casaflux%crmplant(FROOT),casaflux%crgplant,phen%phase,casaflux%fracCalloc(LEAF),casaflux%fracCalloc(WOOD),casaflux%fracCalloc(FROOT),casapool%fT,casapool%fW
     1,     1,     1,   365,    10,   272.86724,    67.91475,     0.00000,   532.95334,     1.35830,     0.00000,    12.99886,    85.22793,   142.43753,     0.00000,     0.47621,     0.33941,     0.00000,    56.07382,   328.31662,   550.92135,     2.75000,    24.88550,    42.06107,     0.22979,     0.13533,     0.11528,     0.28898,     0.19827,     0.00000,     0.00000,     0.00000,     0.00000,    -0.10335,     0.00000,     0.00000,     0.10335,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.23917,     0.21234,
     1,     1,     2,   365,    10,   271.95911,    61.04807,     0.00000,   540.44435,     1.22096,     0.00000,    13.18157,   105.50139,   221.93288,     0.00000,     0.47621,     0.33941,     0.00000,   102.58304,   341.05903,   550.92136,     2.75000,    24.88550,    42.06107,     0.64289,     0.12000,     0.10222,     0.29304,     0.20105,     0.00000,     0.00000,     0.00000,     0.00000,    -0.09141,     0.00000,     0.00000,     0.09141,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.23052,     0.46996,
     1,     1,     3,   365,    10,   271.69435,    65.27288,     0.00000,   530.45176,     1.30546,     0.00000,    12.93785,   132.22449,   291.62990,     0.00000,     0.47621,     0.33941,     0.00000,   136.65586,   363.81001,   550.99186,     2.75000,    24.88550,    42.06107,     0.10359,     0.13461,     0.11467,     0.28762,     0.19734,     0.00000,     0.00000,     0.00000,     0.00000,    -0.08612,     0.00000,     0.00000,     0.08612,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.22806,     0.06102,
     1,     1,     4,   365,    10,   271.32786,    69.06836,     0.00000,   717.17443,     1.38137,     0.00000,    17.49206,    97.99815,   332.76666,     0.00000,     0.47621,     0.33941,     0.00000,   180.55810,   411.93485,   551.20387,     2.75000,    24.88550,    42.06107,     0.32834,     0.13751,     0.11714,     0.38886,     0.26680,     0.00000,     0.00000,     0.00000,     0.00000,    -0.10994,     0.00000,     0.00000,     0.10994,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.22470,     0.22034,
     1,     1,     5,   365,    10,   270.09560,    60.28524,     0.00000,   672.39246,     1.20570,     0.00000,    16.39982,   126.27517,   396.38674,     0.00000,     0.47621,     0.33941,     0.00000,   209.19895,   453.09100,   551.40877,     2.75000,    24.88550,    42.06107,     0.63354,     0.11885,     0.10125,     0.36457,     0.25013,     0.00000,     0.00000,     0.00000,     0.00000,    -0.08437,     0.00000,     0.00000,     0.08437,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.21374,     0.36137,
     1,     1,     6,   365,    10,   275.41320,    57.01134,     0.00000,   660.18153,     1.14023,     0.00000,    16.10199,   126.47984,   435.35352,     0.00000,     0.47621,     0.33941,     0.00000,   234.06102,   505.39186,   551.69190,     2.75000,    24.88550,    42.06107,     0.82549,     0.09541,     0.08128,     0.35800,     0.24562,     0.00000,     0.00000,     0.00000,     0.00000,    -0.18272,     0.00000,     0.00000,     0.18272,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.26518,     0.36256,
     1,     1,     7,   365,    10,   272.69723,    68.11081,     0.00000,   747.51143,     1.36222,     0.00000,    18.23199,   144.20286,   473.47237,     0.00000,     0.47621,     0.33941,     0.00000,   248.38075,   564.44324,   552.03069,     2.75000,    24.88550,    42.06107,     0.39062,     0.13645,     0.11623,     0.40532,     0.27809,     0.00000,     0.00000,     0.00000,     0.00000,    -0.14135,     0.00000,     0.00000,     0.14135,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.23752,     0.17220,
     1,     1,     8,   365,    10,   274.26855,    43.93983,     0.00000,   589.39405,     0.87880,     0.00000,    14.37546,   141.84950,   521.55938,     0.00000,     0.47621,     0.33941,     0.00000,   284.05141,   605.84146,   552.27661,     2.75000,    24.88550,    42.06107,     0.78490,     0.08684,     0.07397,     0.31960,     0.21928,     0.00000,     0.00000,     0.00000,     0.00000,    -0.13968,     0.00000,     0.00000,     0.13968,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.25315,     0.31202,
     1,     1,     9,   365,    10,   274.50100,    66.66722,     0.00000,   652.69238,     1.33334,     0.00000,    15.91933,   167.94875,   566.09932,     0.00000,     0.47621,     0.33941,     0.00000,   299.72996,   651.78810,   552.56053,     2.75000,    24.88550,    42.06107,     0.13787,     0.11854,     0.10098,     0.35393,     0.24283,     0.00000,     0.00000,     0.00000,     0.00000,    -0.15973,     0.00000,     0.00000,     0.15973,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.25555,     0.04803,
     1,     1,    10,   365,    10,   274.86604,    66.53153,     0.00000,   696.88125,     1.33063,     0.00000,    16.99710,   179.40397,   610.94015,     0.00000,     0.47621,     0.33941,     0.00000,   323.25792,   705.69335,   552.90258,     2.75000,    24.88550,    42.06107,     0.30936,     0.11552,     0.09840,     0.37789,     0.25927,     0.00000,     0.00000,     0.00000,     0.00000,    -0.17926,     0.00000,     0.00000,     0.17926,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.25936,     0.09891,
     1,     1,    11,   365,    10,   274.17473,    30.82789,     0.00000,   498.30857,     0.61656,     0.00000,    12.15387,   151.02401,   636.53968,     0.00000,     0.47621,     0.33941,     0.00000,   356.03980,   753.04245,   553.20943,     2.75000,    24.88550,    42.06107,     0.75174,     0.06113,     0.05208,     0.27021,     0.18539,     0.00000,     0.00000,     0.00000,     0.00000,    -0.11656,     0.00000,     0.00000,     0.11656,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.25219,     0.26251,
     1,     1,    12,   365,    10,   273.51758,    55.44342,     0.00000,   507.76961,     1.10887,     0.00000,    12.38462,   154.25832,   661.87501,     0.00000,     0.47621,     0.33941,     0.00000,   370.15314,   798.10754,   553.50859,     2.75000,    24.88550,    42.06107,     0.22835,     0.11349,     0.09668,     0.27533,     0.18891,     0.00000,     0.00000,     0.00000,     0.00000,    -0.10823,     0.00000,     0.00000,     0.10823,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.24556,     0.07950,
     1,     1,    13,   365,    10,   272.88055,    24.40063,     0.00000,   355.13556,     0.48801,     0.00000,     8.66184,   119.69380,   656.23758,     0.00000,     0.47621,     0.33941,     0.00000,   381.80143,   849.82922,   553.85848,     2.75000,    24.88550,    42.06107,     0.40802,     0.04896,     0.04170,     0.19256,     0.13212,     0.00000,     0.00000,     0.00000,     0.00000,    -0.06900,     0.00000,     0.00000,     0.06900,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.23930,     0.16243,
     1,     1,    14,   365,    10,   272.53265,    42.41663,     0.00000,   419.17270,     0.84833,     0.00000,    10.22372,   118.52688,   654.12401,     0.00000,     0.47621,     0.33941,     0.00000,   377.73324,   897.80435,   554.19051,     2.75000,    24.88550,    42.06107,     0.32284,     0.08561,     0.07293,     0.22729,     0.15594,     0.00000,     0.00000,     0.00000,     0.00000,    -0.07734,     0.00000,     0.00000,     0.07734,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.23594,     0.13070,
     1,     1,    15,   365,    10,   274.35508,    58.73547,     0.00000,   497.77245,     1.17471,     0.00000,    12.14079,   141.78351,   674.61899,     0.00000,     0.47621,     0.33941,     0.00000,   377.45907,   942.70959,   554.50660,     2.75000,    24.88550,    42.06107,     0.29290,     0.10193,     0.08683,     0.26992,     0.18519,     0.00000,     0.00000,     0.00000,     0.00000,    -0.11939,     0.00000,     0.00000,     0.11939,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.25404,     0.10039,
