npt,ijgcm,iYrCnt,idoy,iveg,tsoilavg,casapool%Cplant(LEAF),casapool%Cplant(WOOD),casapool%Cplant(FROOT),casapool%Nplant(LEAF),casapool%Nplant(WOOD),casapool%Nplant(FROOT),casapool%Clitter(MET),casapool%Clitter(STR),casapool%Clitter(CWD),casapool%Nlitter(MET),casapool%Nlitter(STR),casapool%Nlitter(CWD),casapool%Csoil(MIC),casapool%Csoil(SLOW),casapool%Csoil(PASS),casapool%Nsoil(MIC),casapool%Nsoil(SLOW),casapool%Nsoil(PASS),casaflux%Crsoil,cleaf2met,cleaf2str,croot2met,croot2str,cwd2str,cwd2co2,cwood2cwd,casaflux%cgpp,casaflux%cnpp,casaflux%crmplant(LEAF),casaflux%crmplant(WOOD),casaflux%crmplant(FROOT),casaflux%crgplant,phen%phase,casaflux%fracCalloc(LEAF),casaflux%fracCalloc(WOOD),casaflux%fracCalloc(FROOT),casapool%fT,casapool%fW
1,1,1,365,10,272.86724,67.91475,0,532.95334,1.3583,0,12.99886,62.89068,132.54338,0,0.47621,0.33941,0,60.24716,330.71986,550.88572,2.75,24.8855,42.06107,0.30206,0.13533,0.11528,0.28898,0.19827,0,0,0,0,-0.10335,0,0,0.10335,0,0,0,0,1,0.23917,0.34465
1,1,2,365,10,271.95911,61.04807,0,540.44435,1.22096,0,13.18157,71.7345,197.7662,0,0.47621,0.33941,0,101.2242,350.77579,550.89083,2.75,24.8855,42.06107,0.71525,0.12,0.10222,0.29304,0.20105,0,0,0,0,-0.09141,0,0,0.09141,0,0,0,0,1,0.23052,0.68134
1,1,3,365,10,271.69435,65.27288,0,530.45176,1.30546,0,12.93785,98.19494,252.28215,0,0.47621,0.33941,0,123.39327,381.74013,550.97927,2.75,24.8855,42.06107,0.14465,0.13461,0.11467,0.28762,0.19734,0,0,0,0,-0.08612,0,0,0.08612,0,0,0,0,1,0.22806,0.10695
1,1,4,365,10,271.32786,69.06836,0,717.17443,1.38137,0,17.49206,66.90769,271.06087,0,0.47621,0.33941,0,149.12714,440.6776,551.22189,2.75,24.8855,42.06107,0.40375,0.13751,0.11714,0.38886,0.2668,0,0,0,0,-0.10994,0,0,0.10994,0,0,0,0,1,0.2247,0.35636
1,1,5,365,10,270.0956,60.28524,0,672.39246,1.2057,0,16.39982,86.13505,316.38619,0,0.47621,0.33941,0,169.90294,488.73221,551.44669,2.75,24.8855,42.06107,0.72266,0.11885,0.10125,0.36457,0.25013,0,0,0,0,-0.08437,0,0,0.08437,0,0,0,0,1,0.21374,0.54949
1,1,6,365,10,275.4132,57.01134,0,660.18153,1.14023,0,16.10199,88.82664,338.42855,0,0.47621,0.33941,0,181.90423,546.2045,551.74652,2.75,24.8855,42.06107,0.9485,0.09541,0.08128,0.358,0.24562,0,0,0,0,-0.18272,0,0,0.18272,0,0,0,0,1,0.26518,0.55102
1,1,7,365,10,272.69723,68.11081,0,747.51143,1.36222,0,18.23199,108.29839,360.99249,0,0.47621,0.33941,0,185.35331,607.47652,552.08992,2.75,24.8855,42.06107,0.50019,0.13645,0.11623,0.40532,0.27809,0,0,0,0,-0.14135,0,0,0.14135,0,0,0,0,1,0.23752,0.28474
1,1,8,365,10,274.26855,43.93983,0,589.39405,0.8788,0,14.37546,87.96176,392.0792,0,0.47621,0.33941,0,218.80692,653.73649,552.36419,2.75,24.8855,42.06107,0.86082,0.08684,0.07397,0.3196,0.21928,0,0,0,0,-0.13968,0,0,0.13968,0,0,0,0,1,0.25315,0.48469
1,1,9,365,10,274.501,66.66722,0,652.69238,1.33334,0,15.91933,119.37886,422.73681,0,0.47621,0.33941,0,221.83133,703.03001,552.67286,2.75,24.8855,42.06107,0.18185,0.11854,0.10098,0.35393,0.24283,0,0,0,0,-0.15973,0,0,0.15973,0,0,0,0,1,0.25555,0.08486
1,1,10,365,10,274.86604,66.53153,0,696.88125,1.33063,0,16.9971,128.16132,453.02922,0,0.47621,0.33941,0,237.0636,758.8346,553.03549,2.75,24.8855,42.06107,0.39627,0.11552,0.0984,0.37789,0.25927,0,0,0,0,-0.17926,0,0,0.17926,0,0,0,0,1,0.25936,0.16966
