npt,ijgcm,iYrCnt,idoy,iveg,tsoilavg,casapool%Cplant(LEAF),casapool%Cplant(WOOD),casapool%Cplant(FROOT),casapool%Nplant(LEAF),casapool%Nplant(WOOD),casapool%Nplant(FROOT),casapool%Clitter(MET),casapool%Clitter(STR),casapool%Clitter(CWD),casapool%Nlitter(MET),casapool%Nlitter(STR),casapool%Nlitter(CWD),casapool%Csoil(MIC),casapool%Csoil(SLOW),casapool%Csoil(PASS),casapool%Nsoil(MIC),casapool%Nsoil(SLOW),casapool%Nsoil(PASS),casaflux%Crsoil,cleaf2met,cleaf2str,croot2met,croot2str,cwd2str,cwd2co2,cwood2cwd,casaflux%cgpp,casaflux%cnpp,casaflux%crmplant(LEAF),casaflux%crmplant(WOOD),casaflux%crmplant(FROOT),casaflux%crgplant,phen%phase,casaflux%fracCalloc(LEAF),casaflux%fracCalloc(WOOD),casaflux%fracCalloc(FROOT),casapool%fT,casapool%fW
     1,     1,     1,   365,    10,   272.86724,    67.74991,     0.00000,   602.63199,     1.35500,     0.00000,    14.69834,    71.05501,   386.29180,     0.00000,     0.47621,     0.33941,     0.00000,   211.20863,  2538.67907,   637.07343,    27.18406,   194.45409,    48.59094,     0.68908,     0.13501,     0.11500,     0.32676,     0.22419,     0.00000,     0.00000,     0.00000,     0.00000,    -0.11686,     0.00000,     0.00000,     0.11686,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.23917,     0.34465,
     1,     1,     2,   365,    10,   271.95911,    60.45891,     0.00000,   582.98811,     1.20918,     0.00000,    14.21922,    76.48219,   392.29648,     0.00000,     0.47621,     0.33941,     0.00000,   214.11389,  2529.79072,   637.53901,    27.18406,   194.45409,    48.59094,     1.35321,     0.11884,     0.10123,     0.31611,     0.21688,     0.00000,     0.00000,     0.00000,     0.00000,    -0.09861,     0.00000,     0.00000,     0.09861,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.23052,     0.68134,
     1,     1,     3,   365,    10,   271.69435,    64.78033,     0.00000,   556.05496,     1.29561,     0.00000,    13.56232,   101.89272,   401.15690,     0.00000,     0.47621,     0.33941,     0.00000,   207.46553,  2520.55528,   637.99185,    27.18406,   194.45409,    48.59094,     0.23275,     0.13360,     0.11381,     0.30150,     0.20686,     0.00000,     0.00000,     0.00000,     0.00000,    -0.09028,     0.00000,     0.00000,     0.09028,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.22806,     0.10695,
     1,     1,     4,   365,    10,   271.32786,    68.85861,     0.00000,   732.82438,     1.37717,     0.00000,    17.87377,    68.11728,   371.00568,     0.00000,     0.47621,     0.33941,     0.00000,   204.27361,  2508.76068,   638.64259,    27.18406,   194.45409,    48.59094,     0.64897,     0.13709,     0.11678,     0.39734,     0.27262,     0.00000,     0.00000,     0.00000,     0.00000,    -0.11234,     0.00000,     0.00000,     0.11234,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.22470,     0.35636,
     1,     1,     5,   365,    10,   270.09560,    60.13461,     0.00000,   681.85963,     1.20269,     0.00000,    16.63072,    87.13898,   390.88491,     0.00000,     0.47621,     0.33941,     0.00000,   210.19415,  2497.66834,   639.10744,    27.18406,   194.45409,    48.59094,     1.05086,     0.11856,     0.10099,     0.36970,     0.25365,     0.00000,     0.00000,     0.00000,     0.00000,    -0.08556,     0.00000,     0.00000,     0.08556,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.21374,     0.54949,
     1,     1,     6,   365,    10,   275.41320,    56.91092,     0.00000,   665.97870,     1.13822,     0.00000,    16.24338,    89.48361,   392.66025,     0.00000,     0.47621,     0.33941,     0.00000,   210.77481,  2488.88097,   639.62002,    27.18406,   194.45409,    48.59094,     1.32180,     0.09524,     0.08113,     0.36114,     0.24778,     0.00000,     0.00000,     0.00000,     0.00000,    -0.18433,     0.00000,     0.00000,     0.18433,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.26518,     0.55102,
     1,     1,     7,   365,    10,   272.69723,    68.04636,     0.00000,   751.02372,     1.36093,     0.00000,    18.31765,   108.72874,   399.80635,     0.00000,     0.47621,     0.33941,     0.00000,   205.72835,  2479.32346,   640.14966,    27.18406,   194.45409,    48.59094,     0.65927,     0.13632,     0.11612,     0.40722,     0.27940,     0.00000,     0.00000,     0.00000,     0.00000,    -0.14201,     0.00000,     0.00000,     0.14201,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.23752,     0.28474,
     1,     1,     8,   365,    10,   274.26855,    43.89812,     0.00000,   591.49747,     0.87796,     0.00000,    14.42677,    88.23471,   423.11948,     0.00000,     0.47621,     0.33941,     0.00000,   235.01882,  2477.81058,   640.53304,    27.18406,   194.45409,    48.59094,     1.13520,     0.08676,     0.07390,     0.32074,     0.22006,     0.00000,     0.00000,     0.00000,     0.00000,    -0.14018,     0.00000,     0.00000,     0.14018,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.25315,     0.48469,
     1,     1,     9,   365,    10,   274.50100,    66.64203,     0.00000,   653.97190,     1.33284,     0.00000,    15.95053,   119.59006,   447.51802,     0.00000,     0.47621,     0.33941,     0.00000,   234.68303,  2479.62469,   640.94031,    27.18406,   194.45409,    48.59094,     0.22814,     0.11850,     0.10094,     0.35462,     0.24331,     0.00000,     0.00000,     0.00000,     0.00000,    -0.16004,     0.00000,     0.00000,     0.16004,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.25555,     0.08486,
     1,     1,    10,   365,    10,   274.86604,    66.51670,     0.00000,   697.64152,     1.33033,     0.00000,    17.01565,   128.28703,   472.40614,     0.00000,     0.47621,     0.33941,     0.00000,   247.05515,  2484.56623,   641.39977,    27.18406,   194.45409,    48.59094,     0.48585,     0.11549,     0.09838,     0.37831,     0.25956,     0.00000,     0.00000,     0.00000,     0.00000,    -0.17945,     0.00000,     0.00000,     0.17945,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.25936,     0.16966,
     1,     1,    11,   365,    10,   274.17473,    30.82005,     0.00000,   498.75185,     0.61640,     0.00000,    12.16468,    88.37382,   478.46484,     0.00000,     0.47621,     0.33941,     0.00000,   272.92259,  2494.28868,   641.81497,    27.18406,   194.45409,    48.59094,     1.02246,     0.06112,     0.05206,     0.27045,     0.18556,     0.00000,     0.00000,     0.00000,     0.00000,    -0.11666,     0.00000,     0.00000,     0.11666,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.25219,     0.41667,
     1,     1,    12,   365,    10,   273.51758,    55.43819,     0.00000,   508.03553,     1.10876,     0.00000,    12.39111,    93.95653,   486.68094,     0.00000,     0.47621,     0.33941,     0.00000,   274.12759,  2504.92156,   642.21305,    27.18406,   194.45409,    48.59094,     0.33772,     0.11348,     0.09667,     0.27548,     0.18901,     0.00000,     0.00000,     0.00000,     0.00000,    -0.10829,     0.00000,     0.00000,     0.10829,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.24556,     0.13785,
     1,     1,    13,   365,    10,   272.88055,    24.39792,     0.00000,   355.29291,     0.48796,     0.00000,     8.66568,    64.48828,   465.39584,     0.00000,     0.47621,     0.33941,     0.00000,   272.92499,  2517.09468,   642.65363,    27.18406,   194.45409,    48.59094,     0.56724,     0.04895,     0.04170,     0.19265,     0.13218,     0.00000,     0.00000,     0.00000,     0.00000,    -0.06903,     0.00000,     0.00000,     0.06903,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.23930,     0.26983,
     1,     1,    14,   365,    10,   272.53265,    42.41458,     0.00000,   419.26719,     0.84829,     0.00000,    10.22603,    71.03620,   450.61244,     0.00000,     0.47621,     0.33941,     0.00000,   257.13962,  2525.28812,   643.05650,    27.18406,   194.45409,    48.59094,     0.46226,     0.08561,     0.07292,     0.22734,     0.15598,     0.00000,     0.00000,     0.00000,     0.00000,    -0.07736,     0.00000,     0.00000,     0.07736,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.23594,     0.22052,
     1,     1,    15,   365,    10,   274.35508,    58.73416,     0.00000,   497.82917,     1.17468,     0.00000,    12.14217,    94.31346,   461.76393,     0.00000,     0.47621,     0.33941,     0.00000,   252.04322,  2530.52767,   643.41986,    27.18406,   194.45409,    48.59094,     0.42795,     0.10193,     0.08683,     0.26995,     0.18521,     0.00000,     0.00000,     0.00000,     0.00000,    -0.11940,     0.00000,     0.00000,     0.11940,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.25404,     0.17207,
     1,     1,    16,   365,    10,   271.30076,    33.25054,     0.00000,   390.44092,     0.66501,     0.00000,     9.52295,   106.52976,   485.41701,     0.00000,     0.47621,     0.33941,     0.00000,   263.38420,  2534.87733,   643.67870,    27.18406,   194.45409,    48.59094,     0.24036,     0.06865,     0.05848,     0.21170,     0.14525,     0.00000,     0.00000,     0.00000,     0.00000,    -0.05960,     0.00000,     0.00000,     0.05960,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.22445,     0.10274,
     1,     1,    17,   365,    10,   275.31328,    28.09982,     0.00000,   312.04493,     0.56200,     0.00000,     7.61085,    96.80326,   484.79871,     0.00000,     0.47621,     0.33941,     0.00000,   268.17275,  2541.12575,   643.96534,    27.18406,   194.45409,    48.59094,     0.20233,     0.05852,     0.04985,     0.16921,     0.11610,     0.00000,     0.00000,     0.00000,     0.00000,    -0.08523,     0.00000,     0.00000,     0.08523,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.26410,     0.07595,
     1,     1,    18,   365,    10,   275.11698,    33.99667,     0.00000,   367.63213,     0.67993,     0.00000,     8.96664,    72.47674,   461.40192,     0.00000,     0.47621,     0.33941,     0.00000,   263.22140,  2549.49081,   644.36110,    27.18406,   194.45409,    48.59094,     0.29352,     0.06981,     0.05947,     0.19936,     0.13678,     0.00000,     0.00000,     0.00000,     0.00000,    -0.09782,     0.00000,     0.00000,     0.09782,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.26201,     0.12385,
     1,     1,    19,   365,    10,   274.17873,    55.70729,     0.00000,   531.28572,     1.11415,     0.00000,    12.95819,    45.59529,   386.53256,     0.00000,     0.47621,     0.33941,     0.00000,   221.93667,  2554.14893,   645.08469,    27.18406,   194.45409,    48.59094,     0.45843,     0.11211,     0.09550,     0.28809,     0.19766,     0.00000,     0.00000,     0.00000,     0.00000,    -0.12434,     0.00000,     0.00000,     0.12434,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.25223,     0.24332,
     1,     1,    20,   365,    10,   274.65033,    40.36482,     0.00000,   447.76504,     0.80730,     0.00000,    10.92110,    84.07333,   406.30854,     0.00000,     0.47621,     0.33941,     0.00000,   217.47246,  2549.47517,   645.39595,    27.18406,   194.45409,    48.59094,     0.24746,     0.08324,     0.07091,     0.24280,     0.16659,     0.00000,     0.00000,     0.00000,     0.00000,    -0.11185,     0.00000,     0.00000,     0.11185,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.25710,     0.10715,
     1,     1,    21,   365,    10,   272.86724,    67.74991,     0.00000,   602.63199,     1.35500,     0.00000,    14.69834,    71.05501,   386.29180,     0.00000,     0.47621,     0.33941,     0.00000,   211.20863,  2540.71953,   645.92404,    27.18406,   194.45409,    48.59094,     0.68928,     0.13501,     0.11500,     0.32676,     0.22419,     0.00000,     0.00000,     0.00000,     0.00000,    -0.11686,     0.00000,     0.00000,     0.11686,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.23917,     0.34465,
     1,     1,    22,   365,    10,   271.95911,    60.45891,     0.00000,   582.98811,     1.20918,     0.00000,    14.21922,    76.48219,   392.29648,     0.00000,     0.47621,     0.33941,     0.00000,   214.11389,  2531.75698,   646.38608,    27.18406,   194.45409,    48.59094,     1.35357,     0.11884,     0.10123,     0.31611,     0.21688,     0.00000,     0.00000,     0.00000,     0.00000,    -0.09861,     0.00000,     0.00000,     0.09861,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.23052,     0.68134,
     1,     1,    23,   365,    10,   271.69435,    64.78033,     0.00000,   556.05496,     1.29561,     0.00000,    13.56232,   101.89272,   401.15690,     0.00000,     0.47621,     0.33941,     0.00000,   207.46553,  2522.45119,   646.83542,    27.18406,   194.45409,    48.59094,     0.23280,     0.13360,     0.11381,     0.30150,     0.20686,     0.00000,     0.00000,     0.00000,     0.00000,    -0.09028,     0.00000,     0.00000,     0.09028,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.22806,     0.10695,
     1,     1,    24,   365,    10,   271.32786,    68.85861,     0.00000,   732.82438,     1.37717,     0.00000,    17.87377,    68.11728,   371.00568,     0.00000,     0.47621,     0.33941,     0.00000,   204.27361,  2510.56045,   647.48117,    27.18406,   194.45409,    48.59094,     0.64914,     0.13709,     0.11678,     0.39734,     0.27262,     0.00000,     0.00000,     0.00000,     0.00000,    -0.11234,     0.00000,     0.00000,     0.11234,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.22470,     0.35636,
     1,     1,    25,   365,    10,   270.09560,    60.13461,     0.00000,   681.85963,     1.20269,     0.00000,    16.63072,    87.13898,   390.88491,     0.00000,     0.47621,     0.33941,     0.00000,   210.19415,  2499.39966,   647.94229,    27.18406,   194.45409,    48.59094,     1.05110,     0.11856,     0.10099,     0.36970,     0.25365,     0.00000,     0.00000,     0.00000,     0.00000,    -0.08556,     0.00000,     0.00000,     0.08556,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.21374,     0.54949,
     1,     1,    26,   365,    10,   275.41320,    56.91092,     0.00000,   665.97870,     1.13822,     0.00000,    16.24338,    89.48361,   392.66025,     0.00000,     0.47621,     0.33941,     0.00000,   210.77481,  2490.54220,   648.45090,    27.18406,   194.45409,    48.59094,     1.32208,     0.09524,     0.08113,     0.36114,     0.24778,     0.00000,     0.00000,     0.00000,     0.00000,    -0.18433,     0.00000,     0.00000,     0.18433,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.26518,     0.55102,
