npt,ijgcm,iYrCnt,idoy,iveg,tsoilavg,moistavg,casapool%Cplant(LEAF),casapool%Cplant(WOOD),casapool%Cplant(FROOT),casapool%Nplant(LEAF),casapool%Nplant(WOOD),casapool%Nplant(FROOT),casapool%Clitter(MET),casapool%Clitter(STR),casapool%Clitter(CWD),casapool%Nlitter(MET),casapool%Nlitter(STR),casapool%Nlitter(CWD),casapool%Csoil(MIC),casapool%Csoil(SLOW),casapool%Csoil(PASS),casapool%Nsoil(MIC),casapool%Nsoil(SLOW),casapool%Nsoil(PASS),casaflux%Crsoil,cleaf2met,cleaf2str,croot2met,croot2str,cwd2str,cwd2co2,cwood2cwd,casaflux%cgpp,casaflux%cnpp,casaflux%crmplant(LEAF),casaflux%crmplant(WOOD),casaflux%crmplant(FROOT),casaflux%crgplant,phen%phase,casaflux%fracCalloc(LEAF),casaflux%fracCalloc(WOOD),casaflux%fracCalloc(FROOT),casapool%fT,casapool%fW
     1,     1,     1,   365,    10,   272.79142,     0.09428,    68.34280,     0.00000,   602.43798,     1.36686,     0.00000,    14.69361,    28.57245,    50.91091,     0.00000,     0.47621,     0.33941,     0.00000,    22.00000,   326.00000,   551.00000,     2.75000,    24.88550,    42.06107,     0.00000,     0.13620,     0.11602,     0.32666,     0.22412,     0.00000,     0.00000,     0.00000,     0.00000,    -0.11552,     0.00000,     0.00000,     0.11552,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.00000,     0.00000,
     1,     1,     2,   365,    10,   271.87416,     0.13807,    65.68877,     0.00000,   622.49161,     1.31378,     0.00000,    15.18272,    28.57245,    50.91091,     0.00000,     0.47621,     0.33941,     0.00000,    22.00000,   326.00000,   551.00000,     2.75000,    24.88550,    42.06107,     0.00000,     0.12912,     0.10999,     0.33752,     0.23158,     0.00000,     0.00000,     0.00000,     0.00000,    -0.10392,     0.00000,     0.00000,     0.10392,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.00000,     0.00000,
     1,     1,     3,   365,    10,   271.58989,     0.05646,    66.75991,     0.00000,   617.41283,     1.33520,     0.00000,    15.05885,    28.57245,    50.91091,     0.00000,     0.47621,     0.33941,     0.00000,    22.00000,   326.00000,   551.00000,     2.75000,    24.88550,    42.06107,     0.00000,     0.13771,     0.11731,     0.33477,     0.22969,     0.00000,     0.00000,     0.00000,     0.00000,    -0.09863,     0.00000,     0.00000,     0.09863,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.00000,     0.00000,
     1,     1,     4,   365,    10,   271.23936,     0.09417,    69.01548,     0.00000,   853.79735,     1.38031,     0.00000,    20.82433,    28.57245,    50.91091,     0.00000,     0.47621,     0.33941,     0.00000,    22.00000,   326.00000,   551.00000,     2.75000,    24.88550,    42.06107,     0.00000,     0.13755,     0.11717,     0.46293,     0.31762,     0.00000,     0.00000,     0.00000,     0.00000,    -0.12907,     0.00000,     0.00000,     0.12907,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.00000,     0.00000,
     1,     1,     5,   365,    10,   270.00616,     0.12146,    64.66937,     0.00000,   799.18385,     1.29339,     0.00000,    19.49229,    28.57245,    50.91091,     0.00000,     0.47621,     0.33941,     0.00000,    22.00000,   326.00000,   551.00000,     2.75000,    24.88550,    42.06107,     0.00000,     0.12748,     0.10859,     0.43331,     0.29730,     0.00000,     0.00000,     0.00000,     0.00000,    -0.09879,     0.00000,     0.00000,     0.09879,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.00000,     0.00000,
     1,     1,     6,   365,    10,   275.30222,     0.12061,    63.81168,     0.00000,   785.72815,     1.27623,     0.00000,    19.16410,    28.57245,    50.91091,     0.00000,     0.47621,     0.33941,     0.00000,    22.00000,   326.00000,   551.00000,     2.75000,    24.88550,    42.06107,     0.00000,     0.10680,     0.09098,     0.42608,     0.29233,     0.00000,     0.00000,     0.00000,     0.00000,    -0.21429,     0.00000,     0.00000,     0.21429,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.00000,     0.00000,
     1,     1,     7,   365,    10,   272.59650,     0.08616,    68.04545,     0.00000,   917.57721,     1.36091,     0.00000,    22.37993,    28.57245,    50.91091,     0.00000,     0.47621,     0.33941,     0.00000,    22.00000,   326.00000,   551.00000,     2.75000,    24.88550,    42.06107,     0.00000,     0.13632,     0.11613,     0.49753,     0.34136,     0.00000,     0.00000,     0.00000,     0.00000,    -0.17092,     0.00000,     0.00000,     0.17092,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.00000,     0.00000,
     1,     1,     8,   365,    10,   274.16461,     0.11231,    47.82425,     0.00000,   718.61986,     0.95649,     0.00000,    17.52731,    28.57245,    50.91091,     0.00000,     0.47621,     0.33941,     0.00000,    22.00000,   326.00000,   551.00000,     2.75000,    24.88550,    42.06107,     0.00000,     0.09452,     0.08052,     0.38967,     0.26736,     0.00000,     0.00000,     0.00000,     0.00000,    -0.16786,     0.00000,     0.00000,     0.16786,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.00000,     0.00000,
     1,     1,     9,   365,    10,   274.40198,     0.05122,    66.76751,     0.00000,   790.81078,     1.33535,     0.00000,    19.28807,    28.57245,    50.91091,     0.00000,     0.47621,     0.33941,     0.00000,    22.00000,   326.00000,   551.00000,     2.75000,    24.88550,    42.06107,     0.00000,     0.11879,     0.10119,     0.42882,     0.29422,     0.00000,     0.00000,     0.00000,     0.00000,    -0.19091,     0.00000,     0.00000,     0.19091,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.00000,     0.00000,
     1,     1,    10,   365,    10,   274.76895,     0.06828,    66.72356,     0.00000,   841.32259,     1.33447,     0.00000,    20.52006,    28.57245,    50.91091,     0.00000,     0.47621,     0.33941,     0.00000,    22.00000,   326.00000,   551.00000,     2.75000,    24.88550,    42.06107,     0.00000,     0.11589,     0.09872,     0.45622,     0.31301,     0.00000,     0.00000,     0.00000,     0.00000,    -0.21358,     0.00000,     0.00000,     0.21358,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.00000,     0.00000,
