   pt,ijgcm,DOY,time,lat,lon,veg,Ts,litter_unprotect(LABILE),litter_unprotect(RECALCTRNT),litter_unprotect(DEADMICRB),litter_protect(LABILE),litter_protect(RECALCTRNT),litter_protect(DEADMICRB),litter_livingMicrobe,litter_CO2,soil_unprotect(1.LABILE),soil_unprotect(1.slow),soil_unprotect(1.DEADMICRB),soil_protect(1.LABILE),soil_protect(1.RECALCTRNT),soil_protect(1.DEADMICRB),soil_livingMicrobe,soil_CO2
     1,     1,   365,  1.0000, 40.8100,255.2400,    10,        272.791419,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.069461,          2.088860,          0.010139,          0.006028,          0.005925,          0.005490,          0.019381,          0.065140,
     1,     1,   365,  2.0000, 40.8100,255.2400,    10,        271.874161,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.077184,          2.168746,          0.020369,          0.017148,          0.012019,          0.030527,          0.032944,          0.208310,
     1,     1,   365,  3.0000, 40.8100,255.2400,    10,        271.589888,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.098333,          2.233755,          0.026173,          0.026938,          0.018216,          0.067367,          0.019910,          0.378677,
     1,     1,   365,  4.0000, 40.8100,255.2400,    10,        271.239356,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.074597,          2.284943,          0.031785,          0.037753,          0.024522,          0.105545,          0.034984,          0.610765,
     1,     1,   365,  5.0000, 40.8100,255.2400,    10,        270.006156,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.091085,          2.369070,          0.030297,          0.049175,          0.030935,          0.150733,          0.037889,          0.812093,
     1,     1,   365,  6.0000, 40.8100,255.2400,    10,        275.302215,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.093387,          2.429546,          0.032055,          0.059411,          0.037461,          0.196669,          0.031351,          1.040813,
     1,     1,   365,  7.0000, 40.8100,255.2400,    10,        272.596499,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.114964,          2.489921,          0.033723,          0.069542,          0.044057,          0.241677,          0.024047,          1.275945,
     1,     1,   365,  8.0000, 40.8100,255.2400,    10,        274.164612,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.104060,          2.574897,          0.033939,          0.087159,          0.050841,          0.286612,          0.040038,          1.456368,
     1,     1,   365,  9.0000, 40.8100,255.2400,    10,        274.401982,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.129957,          2.646724,          0.034975,          0.100308,          0.057714,          0.335479,          0.020750,          1.640822,
     1,     1,   365, 10.0000, 40.8100,255.2400,    10,        274.768949,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.139263,          2.726477,          0.037374,          0.115738,          0.064721,          0.383171,          0.023654,          1.844709,
     1,     1,   365, 11.0000, 40.8100,255.2400,    10,        274.095315,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.106107,          2.790367,          0.035021,          0.136150,          0.071900,          0.429192,          0.041628,          2.019730,
     1,     1,   365, 12.0000, 40.8100,255.2400,    10,        273.421984,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.113227,          2.849631,          0.032803,          0.151084,          0.079123,          0.475684,          0.029792,          2.171969,
     1,     1,   365, 13.0000, 40.8100,255.2400,    10,        272.829362,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.083194,          2.882206,          0.031198,          0.165825,          0.086419,          0.516766,          0.031300,          2.326371,
     1,     1,   365, 14.0000, 40.8100,255.2400,    10,        272.454924,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.100612,          2.918278,          0.026570,          0.177161,          0.093681,          0.553414,          0.019675,          2.442387,
     1,     1,   365, 15.0000, 40.8100,255.2400,    10,        274.331117,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.117898,          2.965791,          0.027182,          0.191610,          0.100978,          0.584212,          0.019611,          2.558810,
     1,     1,   365, 16.0000, 40.8100,255.2400,    10,        271.246902,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.129925,          3.015766,          0.025761,          0.208947,          0.108330,          0.614815,          0.018232,          2.652914,
     1,     1,   365, 17.0000, 40.8100,255.2400,    10,        275.271159,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.120778,          3.044218,          0.026232,          0.225456,          0.115693,          0.644328,          0.014738,          2.750777,
     1,     1,   365, 18.0000, 40.8100,255.2400,    10,        275.062686,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.103943,          3.065667,          0.026834,          0.239635,          0.123026,          0.672552,          0.019476,          2.865586,
     1,     1,   365, 19.0000, 40.8100,255.2400,    10,        274.106208,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.066218,          3.051304,          0.032887,          0.249599,          0.130289,          0.703705,          0.034723,          3.086766,
     1,     1,   365, 20.0000, 40.8100,255.2400,    10,        274.559365,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.112079,          3.103604,          0.029817,          0.260150,          0.137494,          0.741817,          0.018607,          3.211675,
     1,     1,   365, 21.0000, 40.8100,255.2400,    10,        272.791419,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.092614,          3.126778,          0.034844,          0.270488,          0.144697,          0.777505,          0.032373,          3.427941,
     1,     1,   365, 22.0000, 40.8100,255.2400,    10,        271.874161,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.094772,          3.168808,          0.035018,          0.280577,          0.151906,          0.820271,          0.037201,          3.646019,
     1,     1,   365, 23.0000, 40.8100,255.2400,    10,        271.589888,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.116580,          3.198775,          0.036879,          0.288704,          0.159083,          0.864197,          0.020352,          3.870618,
     1,     1,   365, 24.0000, 40.8100,255.2400,    10,        271.239356,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.085145,          3.200412,          0.041680,          0.298261,          0.166255,          0.905628,          0.038327,          4.166325,
     1,     1,   365, 25.0000, 40.8100,255.2400,    10,        270.006156,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.106826,          3.252275,          0.038653,          0.308004,          0.173395,          0.953436,          0.038340,          4.404258,
     1,     1,   365, 26.0000, 40.8100,255.2400,    10,        275.302215,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.105854,          3.275862,          0.040763,          0.316278,          0.180533,          1.000933,          0.031276,          4.677157,
     1,     1,   365, 27.0000, 40.8100,255.2400,    10,        272.596499,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.125519,          3.298623,          0.042011,          0.324296,          0.187621,          1.046893,          0.024293,          4.955092,
     1,     1,   365, 28.0000, 40.8100,255.2400,    10,        274.164612,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.120218,          3.364738,          0.041017,          0.341089,          0.194829,          1.091551,          0.041701,          5.150761,
     1,     1,   365, 29.0000, 40.8100,255.2400,    10,        274.401982,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.141700,          3.415490,          0.043481,          0.352626,          0.202050,          1.141522,          0.021350,          5.361484,
     1,     1,   365, 30.0000, 40.8100,255.2400,    10,        274.768949,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.151568,          3.474026,          0.045388,          0.366593,          0.209342,          1.189810,          0.024236,          5.587721,
     1,     1,   365, 31.0000, 40.8100,255.2400,    10,        274.095315,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.122043,          3.523528,          0.042012,          0.386316,          0.216759,          1.235528,          0.043481,          5.774327,
     1,     1,   365, 32.0000, 40.8100,255.2400,    10,        273.421984,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.127342,          3.570111,          0.040599,          0.400108,          0.224174,          1.282672,          0.030718,          5.941661,
     1,     1,   365, 33.0000, 40.8100,255.2400,    10,        272.829362,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.095905,          3.590140,          0.038683,          0.413775,          0.231625,          1.324094,          0.033220,          6.110008,
     1,     1,   365, 34.0000, 40.8100,255.2400,    10,        272.454924,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.112954,          3.616232,          0.034327,          0.423669,          0.239005,          1.361441,          0.020441,          6.237940,
     1,     1,   365, 35.0000, 40.8100,255.2400,    10,        274.331117,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.132270,          3.654799,          0.034449,          0.437039,          0.246391,          1.392180,          0.020421,          6.362804,
     1,     1,   365, 36.0000, 40.8100,255.2400,    10,        271.246902,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.147360,          3.699219,          0.032724,          0.453680,          0.253810,          1.422405,          0.018722,          6.461055,
     1,     1,   365, 37.0000, 40.8100,255.2400,    10,        275.271159,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.137552,          3.721122,          0.033641,          0.469726,          0.261221,          1.451466,          0.015750,          6.566038,
     1,     1,   365, 38.0000, 40.8100,255.2400,    10,        275.062686,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.117691,          3.733977,          0.034619,          0.483152,          0.268582,          1.479857,          0.021033,          6.692114,
     1,     1,   365, 39.0000, 40.8100,255.2400,    10,        274.106208,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.072220,          3.697765,          0.040736,          0.491567,          0.275833,          1.511411,          0.037892,          6.942375,
     1,     1,   365, 40.0000, 40.8100,255.2400,    10,        274.559365,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.122270,          3.741400,          0.037200,          0.500122,          0.282972,          1.550174,          0.018894,          7.076519,
     1,     1,   365, 41.0000, 40.8100,255.2400,    10,        272.791419,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.100353,          3.747410,          0.042174,          0.508689,          0.290076,          1.585389,          0.033926,          7.313537,
     1,     1,   365, 42.0000, 40.8100,255.2400,    10,        271.874161,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.103181,          3.773996,          0.042142,          0.516749,          0.297137,          1.627900,          0.037967,          7.549811,
     1,     1,   365, 43.0000, 40.8100,255.2400,    10,        271.589888,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.123362,          3.786902,          0.044319,          0.522602,          0.304114,          1.671261,          0.020840,          7.796102,
     1,     1,   365, 44.0000, 40.8100,255.2400,    10,        271.239356,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.090298,          3.766017,          0.048688,          0.530082,          0.311041,          1.711759,          0.040117,          8.118344,
     1,     1,   365, 45.0000, 40.8100,255.2400,    10,        270.006156,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.114637,          3.803222,          0.045456,          0.537639,          0.317881,          1.758836,          0.038795,          8.373033,
     1,     1,   365, 46.0000, 40.8100,255.2400,    10,        275.302215,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.111922,          3.809156,          0.047920,          0.543681,          0.324674,          1.805279,          0.031874,          8.668463,
     1,     1,   365, 47.0000, 40.8100,255.2400,    10,        272.596499,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.130867,          3.813687,          0.049141,          0.549402,          0.331368,          1.850104,          0.024979,          8.969114,
     1,     1,   365, 48.0000, 40.8100,255.2400,    10,        274.164612,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.129828,          3.871925,          0.047379,          0.564590,          0.338157,          1.893709,          0.042764,          9.171864,
     1,     1,   365, 49.0000, 40.8100,255.2400,    10,        274.401982,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.148453,          3.912284,          0.050967,          0.574249,          0.344934,          1.943052,          0.022174,          9.397904,
     1,     1,   365, 50.0000, 40.8100,255.2400,    10,        274.768949,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.158826,          3.960618,          0.052606,          0.586391,          0.351759,          1.990770,          0.024988,          9.637038,
     1,     1,   365, 51.0000, 40.8100,255.2400,    10,        274.095315,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.131843,          4.003796,          0.048505,          0.604726,          0.358696,          2.035769,          0.044792,          9.830179,
     1,     1,   365, 52.0000, 40.8100,255.2400,    10,        273.421984,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.135805,          4.044239,          0.047728,          0.616986,          0.365617,          2.082496,          0.031760,         10.007068,
     1,     1,   365, 53.0000, 40.8100,255.2400,    10,        272.829362,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.103699,          4.058220,          0.045581,          0.629123,          0.372563,          2.123566,          0.034724,         10.184288,
     1,     1,   365, 54.0000, 40.8100,255.2400,    10,        272.454924,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.120243,          4.079287,          0.041570,          0.637300,          0.379428,          2.160743,          0.021359,         10.320390,
     1,     1,   365, 55.0000, 40.8100,255.2400,    10,        274.331117,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.140710,          4.113586,          0.041467,          0.649112,          0.386294,          2.191133,          0.021208,         10.451157,
     1,     1,   365, 56.0000, 40.8100,255.2400,    10,        271.246902,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.157541,          4.155594,          0.039641,          0.664434,          0.393188,          2.220890,          0.019310,         10.552689,
     1,     1,   365, 57.0000, 40.8100,255.2400,    10,        275.271159,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.147784,          4.174479,          0.040767,          0.679341,          0.400075,          2.249427,          0.016554,         10.662402,
