   pt,ijgcm,DOY,time,lat,lon,veg,Ts,litter_unprotect(LABILE),litter_unprotect(RECALCTRNT),litter_unprotect(DEADMICRB),litter_protect(LABILE),litter_protect(RECALCTRNT),litter_protect(DEADMICRB),litter_livingMicrobe,litter_CO2,soil_unprotect(1.LABILE),soil_unprotect(1.slow),soil_unprotect(1.DEADMICRB),soil_protect(1.LABILE),soil_protect(1.RECALCTRNT),soil_protect(1.DEADMICRB),soil_livingMicrobe,soil_CO2
     1,     1,   365,  1.0000, 40.8100,255.2400,    10,        272.791419,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.105486,          2.007658,          0.229461,          0.108424,          0.005803,          0.294619,          0.170816,          1.468553,
     1,     1,   365,  2.0000, 40.8100,255.2400,    10,        271.874161,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.062950,          2.049977,          0.074486,          0.117594,          0.011598,          0.484083,          0.054332,          1.862826,
     1,     1,   365,  3.0000, 40.8100,255.2400,    10,        271.589888,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.096334,          2.108690,          0.040167,          0.124993,          0.017437,          0.550869,          0.022438,          2.077437,
     1,     1,   365,  4.0000, 40.8100,255.2400,    10,        271.239356,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.074082,          2.162003,          0.037227,          0.134240,          0.023392,          0.594759,          0.036552,          2.322125,
     1,     1,   365,  5.0000, 40.8100,255.2400,    10,        270.006156,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.090985,          2.248257,          0.034686,          0.144362,          0.029467,          0.640128,          0.039175,          2.530459,
     1,     1,   365,  6.0000, 40.8100,255.2400,    10,        275.302215,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.093274,          2.309961,          0.036128,          0.153258,          0.035663,          0.685233,          0.032133,          2.765322,
     1,     1,   365,  7.0000, 40.8100,255.2400,    10,        272.596499,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.114572,          2.370876,          0.037728,          0.162045,          0.041936,          0.728974,          0.024491,          3.005724,
     1,     1,   365,  8.0000, 40.8100,255.2400,    10,        274.164612,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.102683,          2.456045,          0.038047,          0.178316,          0.048403,          0.773416,          0.040894,          3.190146,
     1,     1,   365,  9.0000, 40.8100,255.2400,    10,        274.401982,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.128835,          2.528072,          0.039093,          0.190034,          0.054963,          0.821507,          0.020979,          3.377657,
     1,     1,   365, 10.0000, 40.8100,255.2400,    10,        274.768949,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.137887,          2.607834,          0.041406,          0.204056,          0.061663,          0.868294,          0.023897,          3.584368,
     1,     1,   365, 11.0000, 40.8100,255.2400,    10,        274.095315,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.104415,          2.671990,          0.038973,          0.223089,          0.068538,          0.913806,          0.042307,          3.762032,
     1,     1,   365, 12.0000, 40.8100,255.2400,    10,        273.421984,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.111553,          2.731351,          0.036834,          0.236627,          0.075463,          0.959745,          0.030204,          3.916656,
     1,     1,   365, 13.0000, 40.8100,255.2400,    10,        272.829362,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.081782,          2.764244,          0.035100,          0.249997,          0.082463,          1.000255,          0.031806,          4.073401,
     1,     1,   365, 14.0000, 40.8100,255.2400,    10,        272.454924,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.099404,          2.800316,          0.030657,          0.260021,          0.089436,          1.036316,          0.019934,          4.191414,
     1,     1,   365, 15.0000, 40.8100,255.2400,    10,        274.331117,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.116807,          2.847913,          0.031367,          0.273186,          0.096447,          1.066685,          0.019869,          4.309812,
     1,     1,   365, 16.0000, 40.8100,255.2400,    10,        271.246902,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.128952,          2.898010,          0.030049,          0.289273,          0.103516,          1.097056,          0.018434,          4.405483,
     1,     1,   365, 17.0000, 40.8100,255.2400,    10,        275.271159,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.119810,          2.926614,          0.030589,          0.304556,          0.110601,          1.126398,          0.014897,          4.505093,
     1,     1,   365, 18.0000, 40.8100,255.2400,    10,        275.062686,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.102620,          2.948042,          0.031051,          0.317508,          0.117661,          1.154387,          0.019780,          4.622032,
