npt,ijgcm,iYrCnt,idoy,iveg,tsoilavg,moistavg,casapool%Cplant(LEAF),casapool%Cplant(WOOD),casapool%Cplant(FROOT),casapool%Nplant(LEAF),casapool%Nplant(WOOD),casapool%Nplant(FROOT),casapool%Clitter(MET),casapool%Clitter(STR),casapool%Clitter(CWD),casapool%Nlitter(MET),casapool%Nlitter(STR),casapool%Nlitter(CWD),casapool%Csoil(MIC),casapool%Csoil(SLOW),casapool%Csoil(PASS),casapool%Nsoil(MIC),casapool%Nsoil(SLOW),casapool%Nsoil(PASS),casaflux%Crsoil,cleaf2met,cleaf2str,croot2met,croot2str,cwd2str,cwd2co2,cwood2cwd,casaflux%cgpp,casaflux%cnpp,casaflux%crmplant(LEAF),casaflux%crmplant(WOOD),casaflux%crmplant(FROOT),casaflux%crgplant,phen%phase,casaflux%fracCalloc(LEAF),casaflux%fracCalloc(WOOD),casaflux%fracCalloc(FROOT),casapool%fT,casapool%fW
     1,     1,     1,   365,    10,   272.79142,     0.09428,    68.82079,     0.00000,   720.31826,     1.37642,     0.00000,    17.56874,   139.53696,   763.06736,     0.00000,     0.47621,     0.33941,     0.00000,   421.87183,  4523.09729,   664.19569,    52.73398,   345.27460,    50.70196,     0.00000,     0.13264,     0.09265,     0.39350,     0.26505,     0.00000,     0.00000,     0.00000,     0.00000,    -0.13812,     0.00000,     0.00000,     0.13812,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.00000,     0.00000,
     1,     1,     2,   365,    10,   271.87416,     0.13807,    65.77833,     0.00000,   694.77194,     1.31557,     0.00000,    16.94566,   139.53696,   763.06736,     0.00000,     0.47621,     0.33941,     0.00000,   421.87183,  4523.09729,   664.19569,    52.73398,   345.27460,    50.70196,     0.00000,     0.14097,     0.09847,     0.37954,     0.25564,     0.00000,     0.00000,     0.00000,     0.00000,    -0.11599,     0.00000,     0.00000,     0.11599,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.00000,     0.00000,
     1,     1,     3,   365,    10,   271.58989,     0.05646,    67.00054,     0.00000,   660.92822,     1.34001,     0.00000,    16.12020,   139.53696,   763.06736,     0.00000,     0.47621,     0.33941,     0.00000,   421.87183,  4523.09729,   664.19569,    52.73398,   345.27460,    50.70196,     0.00000,     0.14158,     0.09890,     0.36105,     0.24319,     0.00000,     0.00000,     0.00000,     0.00000,    -0.10558,     0.00000,     0.00000,     0.10558,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.00000,     0.00000,
     1,     1,     4,   365,    10,   271.23936,     0.09417,    69.73283,     0.00000,   880.93043,     1.39466,     0.00000,    21.48611,   139.53696,   763.06736,     0.00000,     0.47621,     0.33941,     0.00000,   421.87183,  4523.09729,   664.19569,    52.73398,   345.27460,    50.70196,     0.00000,     0.15153,     0.10584,     0.48122,     0.32414,     0.00000,     0.00000,     0.00000,     0.00000,    -0.13317,     0.00000,     0.00000,     0.13317,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.00000,     0.00000,
     1,     1,     5,   365,    10,   270.00616,     0.12146,    65.56499,     0.00000,   815.70374,     1.31130,     0.00000,    19.89521,   139.53696,   763.06736,     0.00000,     0.47621,     0.33941,     0.00000,   421.87183,  4523.09729,   664.19569,    52.73398,   345.27460,    50.70196,     0.00000,     0.14091,     0.09843,     0.44558,     0.30013,     0.00000,     0.00000,     0.00000,     0.00000,    -0.10083,     0.00000,     0.00000,     0.10083,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.00000,     0.00000,
     1,     1,     6,   365,    10,   275.30222,     0.12061,    64.92533,     0.00000,   795.89365,     1.29851,     0.00000,    19.41204,   139.53696,   763.06736,     0.00000,     0.47621,     0.33941,     0.00000,   421.87183,  4523.09729,   664.19569,    52.73398,   345.27460,    50.70196,     0.00000,     0.11848,     0.08276,     0.43482,     0.29288,     0.00000,     0.00000,     0.00000,     0.00000,    -0.21707,     0.00000,     0.00000,     0.21707,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.00000,     0.00000,
     1,     1,     7,   365,    10,   272.59650,     0.08616,    68.82526,     0.00000,   924.45582,     1.37651,     0.00000,    22.54770,   139.53696,   763.06736,     0.00000,     0.47621,     0.33941,     0.00000,   421.87183,  4523.09729,   664.19569,    52.73398,   345.27460,    50.70196,     0.00000,     0.15033,     0.10501,     0.50502,     0.34016,     0.00000,     0.00000,     0.00000,     0.00000,    -0.17220,     0.00000,     0.00000,     0.17220,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.00000,     0.00000,
     1,     1,     8,   365,    10,   274.16462,     0.11231,    48.78594,     0.00000,   722.75932,     0.97572,     0.00000,    17.62828,   139.53696,   763.06736,     0.00000,     0.47621,     0.33941,     0.00000,   421.87183,  4523.09729,   664.19569,    52.73398,   345.27460,    50.70196,     0.00000,     0.10513,     0.07343,     0.39485,     0.26596,     0.00000,     0.00000,     0.00000,     0.00000,    -0.16882,     0.00000,     0.00000,     0.16882,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.00000,     0.00000,
     1,     1,     9,   365,    10,   274.40199,     0.05122,    67.61739,     0.00000,   794.07435,     1.35235,     0.00000,    19.36767,   139.53696,   763.06736,     0.00000,     0.47621,     0.33941,     0.00000,   421.87183,  4523.09729,   664.19569,    52.73398,   345.27460,    50.70196,     0.00000,     0.13116,     0.09162,     0.43382,     0.29220,     0.00000,     0.00000,     0.00000,     0.00000,    -0.19169,     0.00000,     0.00000,     0.19169,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.00000,     0.00000,
     1,     1,    10,   365,    10,   274.76895,     0.06828,    67.58364,     0.00000,   844.09339,     1.35167,     0.00000,    20.58764,   139.53696,   763.06736,     0.00000,     0.47621,     0.33941,     0.00000,   421.87183,  4523.09729,   664.19569,    52.73398,   345.27460,    50.70196,     0.00000,     0.12798,     0.08940,     0.46115,     0.31061,     0.00000,     0.00000,     0.00000,     0.00000,    -0.21428,     0.00000,     0.00000,     0.21428,     0.00000,     0.00000,     0.00000,     0.00000,     1.00000,     0.00000,     0.00000,
