npt,ijgcm,iYrCnt,idoy,iveg,tsoilavg,moistavg,casapool%Cplant(LEAF),casapool%Cplant(WOOD),casapool%Cplant(FROOT),casapool%Nplant(LEAF),casapool%Nplant(WOOD),casapool%Nplant(FROOT),casapool%Clitter(MET),casapool%Clitter(STR),casapool%Clitter(CWD),casapool%Nlitter(MET),casapool%Nlitter(STR),casapool%Nlitter(CWD),casapool%Csoil(MIC),casapool%Csoil(SLOW),casapool%Csoil(PASS),casapool%Nsoil(MIC),casapool%Nsoil(SLOW),casapool%Nsoil(PASS),casaflux%Crsoil,cleaf2met,cleaf2str,croot2met,croot2str,cwd2str,cwd2co2,cwood2cwd,casaflux%cgpp,casaflux%cnpp,casaflux%crmplant(LEAF),casaflux%crmplant(WOOD),casaflux%crmplant(FROOT),casaflux%crgplant,phen%phase,casaflux%fracCalloc(LEAF),casaflux%fracCalloc(WOOD),casaflux%fracCalloc(FROOT),casapool%fT,casapool%fW
     1,     1,     1,   365,     4,   273.97832,     0.15877,   105.73181,  4618.28722,  2931.98577,     2.11464,    26.39021,    71.51185,    49.64240,   467.23309,   481.34003,     0.13722,     2.08366,     6.58200,   187.84630,  5173.08932,  4544.94180,    23.56850,   172.67864,   151.60630,     1.20848,     0.18575,     0.23403,     0.44092,     0.36270,************,************,     0.31635,     0.00000,    -0.52922,     0.00000,     0.12918,     0.40004,     0.00000,     0.00000,     0.00000,     0.24410,     0.75590,     0.25019,     0.59728,
     1,     1,     2,   365,     4,   274.59426,     0.15922,   116.96744,  4627.73140,  2950.49219,     2.33935,    26.44418,    71.96322,    53.11032,   483.75477,   483.70209,     0.13722,     2.08366,     6.58200,   193.74394,  5168.53174,  4541.78679,    23.56850,   172.67864,   151.60630,     1.27811,     0.26400,     0.33261,     0.44370,     0.36499,************,************,     0.31699,     0.00000,    -0.46198,     0.00000,     0.02349,     0.43849,     0.00000,     0.00000,     0.00000,     0.05086,     0.94914,     0.25652,     0.60000,
     1,     1,     3,   365,     4,   274.87495,     0.15940,   117.93811,  4644.82356,  2990.65972,     2.35876,    26.54185,    72.94292,    52.54452,   493.05955,   484.69520,     0.13722,     2.08366,     6.58200,   197.49908,  5168.70377,  4538.61306,    23.56850,   172.67864,   151.60630,     1.30042,     0.20839,     0.26255,     0.44975,     0.36996,************,************,     0.31816,     0.00000,    -0.50819,     0.00000,     0.04641,     0.46178,     0.00000,     0.00000,     0.00000,     0.09133,     0.90867,     0.25945,     0.60112,
     1,     1,     4,   365,     4,   273.63169,     0.15942,   101.80106,  4630.16323,  2940.94745,     2.03602,    26.45808,    71.73043,    53.51331,   503.16977,   492.71923,     0.13722,     2.08366,     6.58200,   202.23302,  5171.59583,  4535.66546,    23.56850,   172.67864,   151.60630,     1.25316,     0.17885,     0.22533,     0.44226,     0.36380,************,************,     0.31717,     0.00000,    -0.52127,     0.00000,     0.13924,     0.38204,     0.00000,     0.00000,     0.00000,     0.26711,     0.73289,     0.24670,     0.60123,
     1,     1,     5,   365,     4,   273.44274,     0.15941,   104.54225,  4620.74228,  2921.90042,     2.09085,    26.40424,    71.26586,    51.87784,   497.96730,   494.30492,     0.13722,     2.08366,     6.58200,   200.03317,  5176.19115,  4532.58889,    23.56850,   172.67864,   151.60630,     1.23078,     0.18366,     0.23140,     0.43939,     0.36145,************,************,     0.31652,     0.00000,    -0.47405,     0.00000,     0.10463,     0.36942,     0.00000,     0.00000,     0.00000,     0.22072,     0.77928,     0.24481,     0.60120,
     1,     1,     6,   365,     4,   274.11712,     0.15940,    97.20401,  4626.51282,  2941.26654,     1.94408,    26.43722,    71.73821,    51.54477,   495.69995,   498.72545,     0.13722,     2.08366,     6.58200,   199.77147,  5179.61088,  4529.61242,    23.56850,   172.67864,   151.60630,     1.26302,     0.17077,     0.21515,     0.44231,     0.36385,************,************,     0.31691,     0.00000,    -0.47557,     0.00000,     0.06638,     0.40919,     0.00000,     0.00000,     0.00000,     0.13958,     0.86042,     0.25160,     0.60114,
     1,     1,     7,   365,     4,   274.92621,     0.15895,    99.36050,  4600.81560,  2875.68880,     1.98721,    26.29037,    70.13875,    52.89355,   503.54528,   505.18920,     0.13722,     2.08366,     6.58200,   203.47977,  5183.18710,  4526.71867,    23.56850,   172.67864,   151.60630,     1.31614,     0.20410,     0.25714,     0.43246,     0.35574,************,************,     0.31515,     0.00000,    -0.47447,     0.00000,     0.02736,     0.44711,     0.00000,     0.00000,     0.00000,     0.05766,     0.94234,     0.25999,     0.59836,
     1,     1,     8,   365,     4,   274.92906,     0.15881,    82.60980,  4575.12726,  2816.75179,     1.65220,    26.14358,    68.70126,    46.05902,   491.38378,   506.03388,     0.13722,     2.08366,     6.58200,   200.81176,  5188.84248,  4523.73365,    23.56850,   172.67864,   151.60630,     1.26672,     0.14513,     0.18285,     0.42360,     0.34845,************,************,     0.31339,     0.00000,    -0.52503,     0.00000,     0.08692,     0.43812,     0.00000,     0.00000,     0.00000,     0.16554,     0.83446,     0.26002,     0.59754,
     1,     1,     9,   365,     4,   273.64032,     0.15936,    91.36707,  4583.92569,  2854.56573,     1.82734,    26.19386,    69.62355,    47.55844,   469.73030,   499.49765,     0.13722,     2.08366,     6.58200,   189.94342,  5187.48546,  4520.52600,    23.56850,   172.67864,   151.60630,     1.19599,     0.16199,     0.20409,     0.42927,     0.35312,************,************,     0.31399,     0.00000,    -0.41532,     0.00000,     0.04405,     0.37127,     0.00000,     0.00000,     0.00000,     0.10606,     0.89394,     0.24678,     0.60087,
     1,     1,    10,   365,     4,   275.27093,     0.15671,   107.57839,  4589.38832,  2878.57246,     2.15157,    26.22508,    70.20908,    49.72197,   471.41282,   497.22904,     0.13722,     2.08366,     6.58200,   190.46359,  5182.19899,  4517.39017,    23.56850,   172.67864,   151.60630,     1.25620,     0.18900,     0.23812,     0.43290,     0.35610,************,************,     0.31437,     0.00000,    -0.53998,     0.00000,     0.07124,     0.46874,     0.00000,     0.00000,     0.00000,     0.13193,     0.86807,     0.26365,     0.58467,
     1,     1,    11,   365,     4,   274.44531,     0.15940,   109.08237,  4583.29948,  2860.92985,     2.18165,    26.19028,    69.77878,    51.07485,   475.71464,   494.13710,     0.13722,     2.08366,     6.58200,   191.57206,  5177.65181,  4514.21447,    23.56850,   172.67864,   151.60630,     1.25886,     0.19164,     0.24145,     0.43023,     0.35391,************,************,     0.31395,     0.00000,    -0.54290,     0.00000,     0.12634,     0.41657,     0.00000,     0.00000,     0.00000,     0.23271,     0.76729,     0.25497,     0.60113,
     1,     1,    12,   365,     4,   274.98352,     0.15940,    96.91769,  4578.98735,  2865.10594,     1.93835,    26.16564,    69.88063,    49.25779,   476.42723,   494.77442,     0.13722,     2.08366,     6.58200,   192.95700,  5175.16728,  4511.14843,    23.56850,   172.67864,   151.60630,     1.27755,     0.17027,     0.21452,     0.43087,     0.35443,************,************,     0.31366,     0.00000,    -0.61848,     0.00000,     0.16955,     0.44893,     0.00000,     0.00000,     0.00000,     0.27414,     0.72586,     0.26060,     0.60114,
     1,     1,    13,   365,     4,   274.61281,     0.15893,   109.31927,  4607.05438,  2938.09130,     2.18639,    26.32603,    71.66076,    50.70229,   473.97192,   489.62125,     0.13722,     2.08366,     6.58200,   190.45696,  5171.34522,  4507.90278,    23.56850,   172.67864,   151.60630,     1.25570,     0.19206,     0.24197,     0.44184,     0.36346,************,************,     0.31558,     0.00000,    -0.56382,     0.00000,     0.12606,     0.43776,     0.00000,     0.00000,     0.00000,     0.22359,     0.77641,     0.25671,     0.59828,
     1,     1,    14,   365,     4,   273.85842,     0.15940,   104.47428,  4599.81595,  2910.90775,     2.08949,    26.28466,    70.99775,    50.11068,   473.17272,   486.14987,     0.13722,     2.08366,     6.58200,   190.29672,  5167.03826,  4504.66590,    23.56850,   172.67864,   151.60630,     1.21861,     0.18355,     0.23125,     0.43775,     0.36009,************,************,     0.31508,     0.00000,    -0.44870,     0.00000,     0.05819,     0.39051,     0.00000,     0.00000,     0.00000,     0.12968,     0.87032,     0.24897,     0.60114,
     1,     1,    15,   365,     4,   277.70510,     0.15841,   106.75602,  4587.97825,  2881.21182,     2.13512,    26.21702,    70.27346,    47.34635,   467.07317,   480.93553,     0.13722,     2.08366,     6.58200,   188.52720,  5161.32527,  4501.35894,    23.56850,   172.67864,   151.60630,     1.38513,     0.18755,     0.23630,     0.43332,     0.35645,************,************,     0.31427,     0.00000,    -0.74264,     0.00000,     0.10389,     0.63875,     0.00000,     0.00000,     0.00000,     0.13989,     0.86011,     0.29100,     0.59507,
     1,     1,    16,   365,     4,   273.97832,     0.15877,   105.75402,  4607.36772,  2933.00085,     2.11508,    26.32782,    71.53661,    49.65739,   467.38463,   479.98350,     0.13722,     2.08366,     6.58200,   187.82634,  5154.69508,  4498.15211,    23.56850,   172.67864,   151.60630,     1.20671,     0.18579,     0.23408,     0.44107,     0.36282,************,************,     0.31560,     0.00000,    -0.52905,     0.00000,     0.12888,     0.40018,     0.00000,     0.00000,     0.00000,     0.24360,     0.75640,     0.25019,     0.59728,
     1,     1,    17,   365,     4,   274.59426,     0.15922,   116.99209,  4617.19467,  2951.46727,     2.33984,    26.38397,    71.98701,    53.12559,   483.90374,   482.38976,     0.13722,     2.08366,     6.58200,   193.72578,  5150.74065,  4495.03642,    23.56850,   172.67864,   151.60630,     1.27634,     0.26406,     0.33268,     0.44385,     0.36511,************,************,     0.31627,     0.00000,    -0.46208,     0.00000,     0.02344,     0.43864,     0.00000,     0.00000,     0.00000,     0.05073,     0.94927,     0.25652,     0.60000,
     1,     1,    18,   365,     4,   274.87495,     0.15940,   117.96081,  4634.65724,  2991.60373,     2.35922,    26.48376,    72.96594,    52.55884,   493.20392,   483.42915,     0.13722,     2.08366,     6.58200,   197.48196,  5151.50326,  4491.90243,    23.56850,   172.67864,   151.60630,     1.29869,     0.20843,     0.26260,     0.44989,     0.37008,************,************,     0.31747,     0.00000,    -0.50824,     0.00000,     0.04631,     0.46192,     0.00000,     0.00000,     0.00000,     0.09112,     0.90888,     0.25945,     0.60112,
     1,     1,    19,   365,     4,   273.63169,     0.15942,   101.82160,  4620.36182,  2941.85273,     2.03643,    26.40207,    71.75251,    53.52793,   503.31208,   491.47941,     0.13722,     2.08366,     6.58200,   202.21735,  5154.92812,  4488.99187,    23.56850,   172.67864,   151.60630,     1.25156,     0.17888,     0.22537,     0.44240,     0.36392,************,************,     0.31649,     0.00000,    -0.52109,     0.00000,     0.13894,     0.38215,     0.00000,     0.00000,     0.00000,     0.26663,     0.73337,     0.24670,     0.60123,
     1,     1,    20,   365,     4,   273.44274,     0.15941,   104.56061,  4611.29053,  2922.77340,     2.09121,    26.35023,    71.28716,    51.89124,   498.10302,   493.10556,     0.13722,     2.08366,     6.58200,   200.01709,  5160.06297,  4485.95406,    23.56850,   172.67864,   151.60630,     1.22924,     0.18370,     0.23144,     0.43953,     0.36155,************,************,     0.31587,     0.00000,    -0.47395,     0.00000,     0.10442,     0.36953,     0.00000,     0.00000,     0.00000,     0.22031,     0.77969,     0.24481,     0.60120,
     1,     1,    21,   365,     4,   274.11712,     0.15940,    97.22166,  4617.39262,  2942.10360,     1.94443,    26.38510,    71.75862,    51.55782,   495.83087,   497.55789,     0.13722,     2.08366,     6.58200,   199.75555,  5163.98722,  4483.01507,    23.56850,   172.67864,   151.60630,     1.26148,     0.17080,     0.21519,     0.44244,     0.36395,************,************,     0.31629,     0.00000,    -0.47556,     0.00000,     0.06625,     0.40931,     0.00000,     0.00000,     0.00000,     0.13931,     0.86069,     0.25160,     0.60114,
     1,     1,    22,   365,     4,   274.92621,     0.15895,    99.38029,  4592.02877,  2876.49797,     1.98761,    26.24016,    70.15849,    52.90695,   503.67507,   504.04787,     0.13722,     2.08366,     6.58200,   203.46510,  5168.03879,  4480.15779,    23.56850,   172.67864,   151.60630,     1.31460,     0.20414,     0.25720,     0.43258,     0.35584,************,************,     0.31455,     0.00000,    -0.47455,     0.00000,     0.02730,     0.44724,     0.00000,     0.00000,     0.00000,     0.05754,     0.94246,     0.25999,     0.59836,
     1,     1,    23,   365,     4,   274.92906,     0.15881,    82.62992,  4566.65897,  2817.54092,     1.65260,    26.09519,    68.72051,    46.07134,   491.51066,   504.92911,     0.13722,     2.08366,     6.58200,   200.79777,  5174.17103,  4477.21049,    23.56850,   172.67864,   151.60630,     1.26523,     0.14517,     0.18290,     0.42371,     0.34855,************,************,     0.31281,     0.00000,    -0.52500,     0.00000,     0.08675,     0.43824,     0.00000,     0.00000,     0.00000,     0.16525,     0.83475,     0.26002,     0.59754,
     1,     1,    24,   365,     4,   273.64032,     0.15936,    91.38305,  4575.76048,  2855.32018,     1.82766,    26.14720,    69.64196,    47.56976,   469.84898,   498.44385,     0.13722,     2.08366,     6.58200,   189.92837,  5173.30716,  4474.04315,    23.56850,   172.67864,   151.60630,     1.19462,     0.16202,     0.20412,     0.42938,     0.35321,************,************,     0.31343,     0.00000,    -0.41534,     0.00000,     0.04397,     0.37137,     0.00000,     0.00000,     0.00000,     0.10586,     0.89414,     0.24678,     0.60087,
     1,     1,    25,   365,     4,   275.27093,     0.15671,   107.59639,  4581.51767,  2879.30536,     2.15193,    26.18010,    70.22696,    49.73317,   471.52673,   496.21650,     0.13722,     2.08366,     6.58200,   190.44900,  5168.48516,  4470.94660,    23.56850,   172.67864,   151.60630,     1.25481,     0.18903,     0.23816,     0.43301,     0.35619,************,************,     0.31383,     0.00000,    -0.53998,     0.00000,     0.07112,     0.46886,     0.00000,     0.00000,     0.00000,     0.13171,     0.86829,     0.26365,     0.58467,
     1,     1,    26,   365,     4,   274.44531,     0.15940,   109.09993,  4575.71712,  2861.63219,     2.18200,    26.14695,    69.79591,    51.08589,   475.82422,   493.16644,     0.13722,     2.08366,     6.58200,   191.55810,  5164.39413,  4467.81073,    23.56850,   172.67864,   151.60630,     1.25753,     0.19167,     0.24148,     0.43034,     0.35400,************,************,     0.31344,     0.00000,    -0.54280,     0.00000,     0.12613,     0.41667,     0.00000,     0.00000,     0.00000,     0.23237,     0.76763,     0.25497,     0.60113,
     1,     1,    27,   365,     4,   274.98352,     0.15940,    96.93322,  4571.67727,  2865.78386,     1.93866,    26.12387,    69.89717,    49.26824,   476.53300,   493.83668,     0.13722,     2.08366,     6.58200,   192.94386,  5162.33718,  4464.78324,    23.56850,   172.67864,   151.60630,     1.27623,     0.17030,     0.21455,     0.43097,     0.35452,************,************,     0.31316,     0.00000,    -0.61831,     0.00000,     0.16928,     0.44903,     0.00000,     0.00000,     0.00000,     0.27377,     0.72623,     0.26060,     0.60114,
     1,     1,    28,   365,     4,   274.61281,     0.15893,   109.33421,  4600.00126,  2938.74723,     2.18668,    26.28572,    71.67676,    50.71212,   474.07193,   488.72663,     0.13722,     2.08366,     6.58200,   190.44370,  5158.95292,  4461.57839,    23.56850,   172.67864,   151.60630,     1.25445,     0.19208,     0.24200,     0.44194,     0.36354,************,************,     0.31510,     0.00000,    -0.56372,     0.00000,     0.12587,     0.43786,     0.00000,     0.00000,     0.00000,     0.22328,     0.77672,     0.25671,     0.59828,
