npt,ijgcm,iYrCnt,idoy,iveg,tsoilavg,moistavg,casapool%Cplant(LEAF),casapool%Cplant(WOOD),casapool%Cplant(FROOT),casapool%Nplant(LEAF),casapool%Nplant(WOOD),casapool%Nplant(FROOT),casapool%Clitter(MET),casapool%Clitter(STR),casapool%Clitter(CWD),casapool%Nlitter(MET),casapool%Nlitter(STR),casapool%Nlitter(CWD),casapool%Csoil(MIC),casapool%Csoil(SLOW),casapool%Csoil(PASS),casapool%Nsoil(MIC),casapool%Nsoil(SLOW),casapool%Nsoil(PASS),casaflux%Crsoil,cleaf2met,cleaf2str,croot2met,croot2str,cwd2str,cwd2co2,cwood2cwd,casaflux%cgpp,casaflux%cnpp,casaflux%crmplant(LEAF),casaflux%crmplant(WOOD),casaflux%crmplant(FROOT),casaflux%crgplant,phen%phase,casaflux%fracCalloc(LEAF),casaflux%fracCalloc(WOOD),casaflux%fracCalloc(FROOT),casapool%fT,casapool%fW
     1,     1,     1,   365,     4,   273.97832,     0.15877,   105.73182,  4618.28730,  2931.98593,     2.11464,    26.39021,    71.51185,    47.33093,   466.91480,   481.34003,     0.13722,     2.08366,     6.58200,   188.54799,  5180.35931,  4548.18896,    23.56850,   172.67864,   151.60630,     0.00000,     0.18575,     0.23403,     0.44092,     0.36270,     0.12434,     0.11478,     0.31635,     0.00000,    -0.52922,     0.00000,     0.12918,     0.40004,     0.00000,     0.00000,     0.00000,     0.24410,     0.75590,     0.00000,     0.00000,
     1,     1,     2,   365,     4,   274.59426,     0.15922,   116.96746,  4627.73154,  2950.49248,     2.33935,    26.44418,    71.96323,    47.33093,   466.91480,   483.70210,     0.13722,     2.08366,     6.58200,   188.54799,  5180.35931,  4548.18896,    23.56850,   172.67864,   151.60630,     0.00000,     0.26400,     0.33261,     0.44370,     0.36499,     0.12870,     0.11880,     0.31699,     0.00000,    -0.46198,     0.00000,     0.02349,     0.43849,     0.00000,     0.00000,     0.00000,     0.05086,     0.94914,     0.00000,     0.00000,
     1,     1,     3,   365,     4,   274.87496,     0.15940,   117.93813,  4644.82376,  2990.66013,     2.35876,    26.54185,    72.94293,    47.33093,   466.91480,   484.69521,     0.13722,     2.08366,     6.58200,   188.54799,  5180.35931,  4548.18896,    23.56850,   172.67864,   151.60630,     0.00000,     0.20839,     0.26255,     0.44975,     0.36996,     0.13068,     0.12063,     0.31816,     0.00000,    -0.50819,     0.00000,     0.04641,     0.46178,     0.00000,     0.00000,     0.00000,     0.09133,     0.90867,     0.00000,     0.00000,
     1,     1,     4,   365,     4,   273.63169,     0.15942,   101.80108,  4630.16349,  2940.94795,     2.03602,    26.45808,    71.73044,    47.33093,   466.91480,   492.71924,     0.13722,     2.08366,     6.58200,   188.54799,  5180.35931,  4548.18896,    23.56850,   172.67864,   151.60630,     0.00000,     0.17885,     0.22533,     0.44226,     0.36380,     0.12633,     0.11662,     0.31717,     0.00000,    -0.52127,     0.00000,     0.13924,     0.38203,     0.00000,     0.00000,     0.00000,     0.26711,     0.73289,     0.00000,     0.00000,
     1,     1,     5,   365,     4,   273.44275,     0.15941,   104.54227,  4620.74259,  2921.90100,     2.09085,    26.40424,    71.26588,    47.33093,   466.91480,   494.30494,     0.13722,     2.08366,     6.58200,   188.54799,  5180.35931,  4548.18896,    23.56850,   172.67864,   151.60630,     0.00000,     0.18366,     0.23140,     0.43940,     0.36145,     0.12577,     0.11609,     0.31652,     0.00000,    -0.47405,     0.00000,     0.10463,     0.36942,     0.00000,     0.00000,     0.00000,     0.22072,     0.77928,     0.00000,     0.00000,
     1,     1,     6,   365,     4,   274.11712,     0.15940,    97.20403,  4626.51318,  2941.26717,     1.94408,    26.43722,    71.73822,    47.33093,   466.91480,   498.72548,     0.13722,     2.08366,     6.58200,   188.54799,  5180.35931,  4548.18896,    23.56850,   172.67864,   151.60630,     0.00000,     0.17077,     0.21515,     0.44231,     0.36385,     0.13040,     0.12037,     0.31691,     0.00000,    -0.47557,     0.00000,     0.06638,     0.40919,     0.00000,     0.00000,     0.00000,     0.13958,     0.86042,     0.00000,     0.00000,
     1,     1,     7,   365,     4,   274.92621,     0.15895,    99.36052,  4600.81602,  2875.68949,     1.98721,    26.29038,    70.13877,    47.33093,   466.91480,   505.18922,     0.13722,     2.08366,     6.58200,   188.54799,  5180.35931,  4548.18896,    23.56850,   172.67864,   151.60630,     0.00000,     0.20410,     0.25714,     0.43246,     0.35574,     0.13587,     0.12542,     0.31515,     0.00000,    -0.47447,     0.00000,     0.02736,     0.44711,     0.00000,     0.00000,     0.00000,     0.05766,     0.94234,     0.00000,     0.00000,
     1,     1,     8,   365,     4,   274.92906,     0.15881,    82.60982,  4575.12772,  2816.75252,     1.65220,    26.14359,    68.70128,    47.33093,   466.91480,   506.03391,     0.13722,     2.08366,     6.58200,   188.54799,  5180.35931,  4548.18896,    23.56850,   172.67864,   151.60630,     0.00000,     0.14513,     0.18285,     0.42360,     0.34845,     0.13592,     0.12547,     0.31339,     0.00000,    -0.52503,     0.00000,     0.08692,     0.43812,     0.00000,     0.00000,     0.00000,     0.16554,     0.83446,     0.00000,     0.00000,
     1,     1,     9,   365,     4,   273.64032,     0.15936,    91.36709,  4583.92619,  2854.56649,     1.82734,    26.19386,    69.62357,    47.33093,   466.91480,   499.49769,     0.13722,     2.08366,     6.58200,   188.54799,  5180.35931,  4548.18896,    23.56850,   172.67864,   151.60630,     0.00000,     0.16199,     0.20409,     0.42927,     0.35312,     0.12804,     0.11819,     0.31399,     0.00000,    -0.41532,     0.00000,     0.04405,     0.37127,     0.00000,     0.00000,     0.00000,     0.10606,     0.89394,     0.00000,     0.00000,
     1,     1,    10,   365,     4,   275.27094,     0.15671,   107.57841,  4589.38887,  2878.57325,     2.15157,    26.22508,    70.20910,    47.33093,   466.91480,   497.22908,     0.13722,     2.08366,     6.58200,   188.54799,  5180.35931,  4548.18896,    23.56850,   172.67864,   151.60630,     0.00000,     0.18900,     0.23812,     0.43290,     0.35610,     0.13250,     0.12231,     0.31437,     0.00000,    -0.53998,     0.00000,     0.07124,     0.46874,     0.00000,     0.00000,     0.00000,     0.13193,     0.86807,     0.00000,     0.00000,
     1,     1,    11,   365,     4,   274.44531,     0.15940,   109.08238,  4583.30007,  2860.93066,     2.18165,    26.19029,    69.77880,    47.33093,   466.91480,   494.13715,     0.13722,     2.08366,     6.58200,   188.54799,  5180.35931,  4548.18896,    23.56850,   172.67864,   151.60630,     0.00000,     0.19164,     0.24145,     0.43023,     0.35391,     0.13093,     0.12086,     0.31395,     0.00000,    -0.54290,     0.00000,     0.12634,     0.41657,     0.00000,     0.00000,     0.00000,     0.23271,     0.76729,     0.00000,     0.00000,
     1,     1,    12,   365,     4,   274.98353,     0.15940,    96.91771,  4578.98798,  2865.10678,     1.93835,    26.16565,    69.88065,    47.33093,   466.91480,   494.77447,     0.13722,     2.08366,     6.58200,   188.54799,  5180.35931,  4548.18896,    23.56850,   172.67864,   151.60630,     0.00000,     0.17027,     0.21452,     0.43087,     0.35443,     0.13399,     0.12369,     0.31366,     0.00000,    -0.61848,     0.00000,     0.16955,     0.44893,     0.00000,     0.00000,     0.00000,     0.27414,     0.72586,     0.00000,     0.00000,
     1,     1,    13,   365,     4,   274.61281,     0.15893,   109.31928,  4607.05505,  2938.09215,     2.18639,    26.32603,    71.66078,    47.33093,   466.91480,   489.62131,     0.13722,     2.08366,     6.58200,   188.54799,  5180.35931,  4548.18896,    23.56850,   172.67864,   151.60630,     0.00000,     0.19206,     0.24197,     0.44184,     0.36346,     0.13000,     0.12000,     0.31558,     0.00000,    -0.56382,     0.00000,     0.12606,     0.43776,     0.00000,     0.00000,     0.00000,     0.22359,     0.77641,     0.00000,     0.00000,
