   pt,ijgcm,DOY,time,lat,lon,veg,Ts,litter_unprotect(LABILE),litter_unprotect(RECALCTRNT),litter_unprotect(DEADMICRB),litter_protect(LABILE),litter_protect(RECALCTRNT),litter_protect(DEADMICRB),litter_livingMicrobe,litter_CO2,soil_unprotect(1.LABILE),soil_unprotect(1.slow),soil_unprotect(1.DEADMICRB),soil_protect(1.LABILE),soil_protect(1.RECALCTRNT),soil_protect(1.DEADMICRB),soil_livingMicrobe,soil_CO2
     1,     1,   365,  1.0000, 42.5400,287.8300,     4,        273.978318,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.022249,          1.946476,          0.134579,          0.019628,          0.002329,          0.112800,          0.199000,          2.171579,
     1,     1,   365,  2.0000, 42.5400,287.8300,     4,        274.594264,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.025679,          1.949719,          0.050646,          0.020880,          0.004585,          0.158685,          0.081108,          2.851556,
     1,     1,   365,  3.0000, 42.5400,287.8300,     4,        274.874956,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.027866,          1.989637,          0.037153,          0.022287,          0.006839,          0.181165,          0.064671,          3.351255,
     1,     1,   365,  4.0000, 42.5400,287.8300,     4,        273.631694,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.028389,          2.040224,          0.035445,          0.023845,          0.009116,          0.200184,          0.060715,          3.797884,
     1,     1,   365,  5.0000, 42.5400,287.8300,     4,        273.442747,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.028071,          2.071844,          0.034163,          0.025286,          0.011413,          0.217728,          0.059319,          4.257075,
     1,     1,   365,  6.0000, 42.5400,287.8300,     4,        274.117120,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.028262,          2.100583,          0.034095,          0.026733,          0.013715,          0.234905,          0.058169,          4.705597,
     1,     1,   365,  7.0000, 42.5400,287.8300,     4,        274.926213,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.029616,          2.134746,          0.035608,          0.028325,          0.016020,          0.252324,          0.059904,          5.150048,
     1,     1,   365,  8.0000, 42.5400,287.8300,     4,        274.929059,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.026390,          2.145094,          0.034769,          0.029799,          0.018328,          0.269958,          0.058204,          5.609046,
     1,     1,   365,  9.0000, 42.5400,287.8300,     4,        273.640321,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.027166,          2.134849,          0.032944,          0.031046,          0.020600,          0.285964,          0.056363,          6.081814,
     1,     1,   365, 10.0000, 42.5400,287.8300,     4,        275.270937,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.029035,          2.142080,          0.034457,          0.032417,          0.022842,          0.301768,          0.058856,          6.552007,
     1,     1,   365, 11.0000, 42.5400,287.8300,     4,        274.445311,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.028562,          2.147238,          0.035125,          0.033797,          0.025060,          0.318113,          0.060466,          7.040721,
     1,     1,   365, 12.0000, 42.5400,287.8300,     4,        274.983527,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.027608,          2.150853,          0.034769,          0.035126,          0.027257,          0.334465,          0.058805,          7.519011,
     1,     1,   365, 13.0000, 42.5400,287.8300,     4,        274.612808,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.028916,          2.146342,          0.034715,          0.036404,          0.029422,          0.350090,          0.060378,          8.017521,
     1,     1,   365, 14.0000, 42.5400,287.8300,     4,        273.858426,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.028261,          2.141156,          0.035232,          0.037692,          0.031555,          0.365864,          0.060509,          8.521697,
     1,     1,   365, 15.0000, 42.5400,287.8300,     4,        277.705101,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.027520,          2.128142,          0.034881,          0.038925,          0.033649,          0.381376,          0.060702,          9.031220,
     1,     1,   365, 16.0000, 42.5400,287.8300,     4,        273.978318,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.028337,          2.122492,          0.034865,          0.040147,          0.035704,          0.396684,          0.060001,          9.526789,
     1,     1,   365, 17.0000, 42.5400,287.8300,     4,        274.594264,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.029583,          2.135775,          0.036121,          0.041463,          0.037735,          0.412155,          0.062943,         10.023440,
     1,     1,   365, 18.0000, 42.5400,287.8300,     4,        274.874956,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.029499,          2.144504,          0.036595,          0.042765,          0.039754,          0.428014,          0.063587,         10.532484,
     1,     1,   365, 19.0000, 42.5400,287.8300,     4,        273.631694,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.029215,          2.160397,          0.037103,          0.044128,          0.041757,          0.444321,          0.061905,         11.013286,
     1,     1,   365, 20.0000, 42.5400,287.8300,     4,        273.442747,          2.000000,          2.000000,          0.100000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.028623,          2.161352,          0.035970,          0.045341,          0.043745,          0.459696,          0.060648,         11.505806,
