date,jd,airt,airtmax,airtmin,rh,rhmax,rhmin,dewp,dewpmax,dewpmin,prec,slrt,part,netr,bar,wspd,wres,wdir,wdev,gspd,s10t,s10tmax,s10tmin
2018-05-01,121,11.1,20.4,2.3,68,100,27,4.1,8.0,-0.9,0.0,19.1,37.4,98.5,1016,0.9,0.6,287,43,6.6,9.3,10.6,8.2
2018-05-02,122,21.3,29.8,9.8,31,64,16,2.5,8.4,-0.4,0.0,24.9,48.5,139.8,1016,1.9,1.6,241,29,11.4,11.0,12.7,9.6
2018-05-03,123,22.3,28.6,16.9,55,99,33,12.1,19.2,3.9,0.3,14.4,28.6,84.5,1015,1.4,1.1,240,39,8.2,12.6,13.7,11.5
2018-05-04,124,20.7,26.0,16.7,79,100,52,16.6,19.1,9.5,2.0,12.7,25.5,57.5,1011,2.4,2.0,226,34,13.5,13.8,14.7,13.1
2018-05-05,125,15.3,21.4,8.7,48,70,24,3.7,10.3,-0.5,0.0,26.1,50.1,152.8,1015,2.4,1.8,274,40,16.1,14.1,14.9,13.2
2018-05-06,126,12.8,15.4,9.8,87,100,47,10.4,13.8,3.9,5.3,3.6,7.0,-5.2,1017,0.9,0.2,51,69,5.5,13.5,14.4,13.1
2018-05-07,127,14.2,20.8,8.7,64,100,27,6.1,10.0,0.2,0.0,23.4,45.1,132.0,1019,1.2,0.5,359,59,8.6,13.2,14.3,12.2
2018-05-08,128,15.3,22.7,6.9,63,100,29,6.9,13.1,-0.2,0.0,24.0,45.9,136.4,1024,1.4,0.9,205,47,7.0,13.7,14.8,12.6
2018-05-09,129,16.9,25.1,8.3,49,85,23,5.2,11.2,1.5,0.0,22.9,43.7,123.6,1020,1.5,0.7,135,59,8.7,14.0,15.0,12.9
2018-05-10,130,13.5,20.6,5.4,77,100,44,9.2,12.8,5.1,0.0,17.8,34.4,99.1,1013,1.8,1.0,196,53,10.1,13.9,14.6,13.0
2018-05-11,131,13.3,18.3,8.6,44,78,14,0.1,10.3,-10.5,0.0,22.9,43.2,124.8,1015,1.6,1.0,307,50,10.9,13.9,14.6,13.2
2018-05-12,132,7.2,9.5,5.9,76,100,37,2.2,7.2,-5.8,4.8,3.6,7.0,7.8,1020,1.3,1.1,76,32,7.1,12.8,13.9,12.1
2018-05-13,133,10.7,17.1,4.2,76,100,33,5.7,10.0,-0.4,0.0,24.1,46.8,141.3,1020,1.5,0.8,159,53,7.1,12.6,13.8,11.7
2018-05-14,134,15.1,23.3,8.9,78,100,41,10.7,14.1,8.8,0.0,22.3,42.9,145.1,1015,1.4,1.1,226,40,6.7,13.7,14.9,12.8
2018-05-15,135,15.8,26.9,11.3,95,100,50,14.7,19.8,11.3,17.0,11.4,21.8,61.3,1012,1.2,0.5,219,60,9.1,14.6,15.5,13.9
2018-05-16,136,13.6,18.6,9.2,79,100,49,9.5,12.3,6.7,0.0,19.1,35.7,109.2,1019,1.5,1.0,118,45,9.4,14.6,15.3,13.8
2018-05-17,137,17.2,24.8,12.0,80,100,28,13.1,17.0,5.0,0.0,16.4,30.7,92.5,1017,0.9,0.6,236,46,5.2,15.1,16.1,14.3
2018-05-18,138,13.2,18.4,5.1,48,89,29,2.1,13.6,-3.6,0.0,24.4,45.4,133.3,1028,1.7,1.3,80,41,7.8,15.4,16.3,14.6
2018-05-19,139,9.2,13.1,4.4,81,100,45,5.6,12.0,-3.3,8.4,8.9,17.0,39.4,1025,1.7,1.2,105,41,7.7,14.1,15.3,13.6
2018-05-20,140,16.7,22.4,11.8,95,100,72,15.8,21.3,11.8,2.5,9.1,17.5,40.6,1014,1.5,0.9,236,50,7.5,14.3,15.3,13.6
