npt,ijgcm,iYrCnt,idoy,iveg,tsoilavg,moistavg,casapool%Cplant(LEAF),casapool%Cplant(WOOD),casapool%Cplant(FROOT),casapool%Nplant(LEAF),casapool%Nplant(WOOD),casapool%Nplant(FROOT),casapool%Clitter(MET),casapool%Clitter(STR),casapool%Clitter(CWD),casapool%Nlitter(MET),casapool%Nlitter(STR),casapool%Nlitter(CWD),casapool%Csoil(MIC),casapool%Csoil(SLOW),casapool%Csoil(PASS),casapool%Nsoil(MIC),casapool%Nsoil(SLOW),casapool%Nsoil(PASS),casaflux%Crsoil,cleaf2met,cleaf2str,croot2met,croot2str,cwd2str,cwd2co2,cwood2cwd,casaflux%cgpp,casaflux%cnpp,casaflux%crmplant(LEAF),casaflux%crmplant(WOOD),casaflux%crmplant(FROOT),casaflux%crgplant,phen%phase,casaflux%fracCalloc(LEAF),casaflux%fracCalloc(WOOD),casaflux%fracCalloc(FROOT),casapool%fT,casapool%fW
     1,     1,     1,   365,     4,   273.97832,     0.15877,   105.73181,  4618.28722,  2931.98577,     2.11464,    26.39021,    71.51185,    47.33093,   466.91480,   481.34003,     0.13722,     2.08366,     6.58200,   188.54799,  5180.35931,  4548.18896,    23.56850,   172.67864,   151.60630,     0.00000,     0.22668,     0.19310,     0.44805,     0.35556,     0.12434,     0.11478,     0.31635,     0.00000,    -0.52922,     0.00000,     0.12918,     0.40004,     0.00000,     0.00000,     0.00000,     0.24410,     0.75590,     0.00000,     0.00000,
     1,     1,     2,   365,     4,   274.59426,     0.15922,   116.96744,  4627.73140,  2950.49219,     2.33935,    26.44418,    71.96322,    47.33093,   466.91480,   483.70209,     0.13722,     2.08366,     6.58200,   188.54799,  5180.35931,  4548.18896,    23.56850,   172.67864,   151.60630,     0.00000,     0.32217,     0.27444,     0.45089,     0.35781,     0.12870,     0.11880,     0.31699,     0.00000,    -0.46198,     0.00000,     0.02349,     0.43849,     0.00000,     0.00000,     0.00000,     0.05086,     0.94914,     0.00000,     0.00000,
     1,     1,     3,   365,     4,   274.87495,     0.15940,   117.93811,  4644.82356,  2990.65972,     2.35876,    26.54185,    72.94292,    47.33093,   466.91480,   484.69520,     0.13722,     2.08366,     6.58200,   188.54799,  5180.35931,  4548.18896,    23.56850,   172.67864,   151.60630,     0.00000,     0.25431,     0.21664,     0.45703,     0.36268,     0.13068,     0.12063,     0.31816,     0.00000,    -0.50819,     0.00000,     0.04641,     0.46178,     0.00000,     0.00000,     0.00000,     0.09133,     0.90867,     0.00000,     0.00000,
     1,     1,     4,   365,     4,   273.63169,     0.15942,   101.80106,  4630.16323,  2940.94745,     2.03602,    26.45808,    71.73043,    47.33093,   466.91480,   492.71923,     0.13722,     2.08366,     6.58200,   188.54799,  5180.35931,  4548.18896,    23.56850,   172.67864,   151.60630,     0.00000,     0.21826,     0.18592,     0.44942,     0.35664,     0.12633,     0.11662,     0.31717,     0.00000,    -0.52127,     0.00000,     0.13924,     0.38204,     0.00000,     0.00000,     0.00000,     0.26711,     0.73289,     0.00000,     0.00000,
     1,     1,     5,   365,     4,   273.44274,     0.15941,   104.54225,  4620.74228,  2921.90042,     2.09085,    26.40424,    71.26586,    47.33093,   466.91480,   494.30492,     0.13722,     2.08366,     6.58200,   188.54799,  5180.35931,  4548.18896,    23.56850,   172.67864,   151.60630,     0.00000,     0.22413,     0.19093,     0.44651,     0.35433,     0.12577,     0.11609,     0.31652,     0.00000,    -0.47405,     0.00000,     0.10463,     0.36942,     0.00000,     0.00000,     0.00000,     0.22072,     0.77928,     0.00000,     0.00000,
     1,     1,     6,   365,     4,   274.11712,     0.15940,    97.20401,  4626.51282,  2941.26654,     1.94408,    26.43722,    71.73821,    47.33093,   466.91480,   498.72545,     0.13722,     2.08366,     6.58200,   188.54799,  5180.35931,  4548.18896,    23.56850,   172.67864,   151.60630,     0.00000,     0.20840,     0.17753,     0.44947,     0.35669,     0.13040,     0.12037,     0.31691,     0.00000,    -0.47557,     0.00000,     0.06638,     0.40919,     0.00000,     0.00000,     0.00000,     0.13958,     0.86042,     0.00000,     0.00000,
     1,     1,     7,   365,     4,   274.92621,     0.15895,    99.36050,  4600.81560,  2875.68880,     1.98721,    26.29037,    70.13875,    47.33093,   466.91480,   505.18920,     0.13722,     2.08366,     6.58200,   188.54799,  5180.35931,  4548.18896,    23.56850,   172.67864,   151.60630,     0.00000,     0.24907,     0.21217,     0.43946,     0.34874,     0.13587,     0.12542,     0.31515,     0.00000,    -0.47447,     0.00000,     0.02736,     0.44711,     0.00000,     0.00000,     0.00000,     0.05766,     0.94234,     0.00000,     0.00000,
     1,     1,     8,   365,     4,   274.92906,     0.15881,    82.60980,  4575.12726,  2816.75179,     1.65220,    26.14358,    68.70126,    47.33093,   466.91480,   506.03388,     0.13722,     2.08366,     6.58200,   188.54799,  5180.35931,  4548.18896,    23.56850,   172.67864,   151.60630,     0.00000,     0.17711,     0.15087,     0.43045,     0.34159,     0.13592,     0.12547,     0.31339,     0.00000,    -0.52503,     0.00000,     0.08692,     0.43812,     0.00000,     0.00000,     0.00000,     0.16554,     0.83446,     0.00000,     0.00000,
     1,     1,     9,   365,     4,   273.64032,     0.15936,    91.36707,  4583.92569,  2854.56573,     1.82734,    26.19386,    69.62355,    47.33093,   466.91480,   499.49765,     0.13722,     2.08366,     6.58200,   188.54799,  5180.35931,  4548.18896,    23.56850,   172.67864,   151.60630,     0.00000,     0.19768,     0.16839,     0.43622,     0.34617,     0.12804,     0.11819,     0.31399,     0.00000,    -0.41532,     0.00000,     0.04405,     0.37127,     0.00000,     0.00000,     0.00000,     0.10606,     0.89394,     0.00000,     0.00000,
     1,     1,    10,   365,     4,   275.27093,     0.15671,   107.57839,  4589.38832,  2878.57246,     2.15157,    26.22508,    70.20908,    47.33093,   466.91480,   497.22904,     0.13722,     2.08366,     6.58200,   188.54799,  5180.35931,  4548.18896,    23.56850,   172.67864,   151.60630,     0.00000,     0.23065,     0.19648,     0.43990,     0.34909,     0.13250,     0.12231,     0.31437,     0.00000,    -0.53998,     0.00000,     0.07124,     0.46874,     0.00000,     0.00000,     0.00000,     0.13193,     0.86807,     0.00000,     0.00000,
